MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
Bridgeton City of,"4,125",891,19,9,3,2,1,1,2,0
Commercial Twp,983,701,15,2,1,2,0,0,2,1
Deerfield Twp,698,597,7,2,2,1,0,0,0,0
Downe Twp,276,415,8,1,4,0,0,1,0,1
Fairfield Twp,"1,830",534,8,3,0,2,0,0,2,0
Greenwich Twp,229,203,9,4,0,0,0,0,0,0
Hopewell Twp,856,"1,188",8,4,1,2,1,1,1,0
Lawrence Twp,539,618,9,3,5,0,0,0,0,0
Maurice River Twp,627,810,10,1,5,5,2,0,0,0
Millville City,"6,653","4,182",72,32,17,14,2,2,7,0
Shiloh Boro,88,159,0,0,1,0,0,0,0,0
Stow Creek Twp,238,447,3,1,0,0,0,0,0,0
Upper Deerfield Twp,"1,614","1,839",16,5,5,3,2,2,3,1
Vineland City,"15,299","8,074",99,50,16,31,3,7,10,2
COUNTY TOTAL,"34,055","20,658",283,117,60,62,11,14,27,5
