MUNICIPALITIES,"Robert MenendezDemocratic","Joe KyrillosRepublican","Kenneth R. KaplanLibertarian Party","Ken WolskiGreen Party","Gwen DiakosJersey Strong Independents","J. David DranikoffTotally Independent Candidate","Inder 'Andy' SoniAmerica First","Robert 'Turk' TurkavageResponsibility Fairness Integrity","Gregory PasonSocialist Party USA","Eugene Martin LavergneIndependent","Daryl Mikell BrooksReform Nation"
Barnegat Twp.,"4,521","5,227",73,36,35,10,4,3,5,30,5
Barnegat Light Boro,141,216,3,0,1,0,0,0,0,0,0
Bay Head Boro,162,376,2,2,1,2,0,0,1,0,0
Beach Haven Boro,197,325,3,3,1,0,0,0,0,0,0
Beachwood Boro,"1,873","2,209",30,17,15,2,0,1,0,6,1
Berkeley Twp.,"8,515","10,988",99,46,64,11,3,21,6,61,7
Brick Twp.,"13,218","17,241",187,144,118,25,4,15,24,100,17
Eagleswood Twp.,245,429,9,4,2,0,0,0,1,2,0
Harvey Cedars Boro,97,152,1,0,1,1,0,0,0,0,0
Island Heights Boro,406,473,8,4,4,0,1,0,0,3,0
Jackson  Twp.,"9,873","13,034",179,105,69,13,6,12,11,99,8
Lacey Twp.,"4,550","7,074",86,48,48,6,2,5,5,54,4
Lakehurst  Boro,392,376,5,3,9,0,0,0,0,5,1
Lakewood Twp.,"10,539","13,154",57,22,18,4,1,5,2,42,4
Lavallette Boro,307,595,3,2,1,1,0,0,0,3,1
Little Egg Harbor Twp.,"3,566","4,829",56,32,16,4,1,4,3,12,3
Long Beach  Twp,592,"1,136",11,5,4,3,1,3,1,1,0
Manchester Twp.,"9,475","12,122",112,52,51,13,3,7,8,72,18
Mantoloking Boro,39,173,1,0,0,0,0,0,0,0,0
Ocean Twp,"1,599","2,754",27,17,10,1,0,2,5,14,1
Ocean Gate  Boro,365,399,10,4,5,1,0,0,1,3,2
Pine Beach Boro,504,640,11,3,5,0,0,0,1,1,0
Plumsted Twp.,"1,293","2,018",34,19,8,2,0,1,0,9,2
Point Pleasant Boro,"3,585","4,827",61,37,26,3,3,5,8,19,2
MUNICIPALITIES,,,,,,,,,,,
Point Pleasant Beach Boro,817,"1,267",14,15,7,0,0,1,1,9,0
Seaside Heights Boro,166,215,5,7,2,1,0,0,0,1,0
Seaside Park Boro,226,462,5,7,6,1,0,2,1,1,0
Ship Bottom Boro,228,318,4,2,1,0,0,0,0,0,2
South Toms River Boro,743,407,6,4,5,1,0,0,2,4,5
Stafford Twp,"4,741","6,578",80,49,43,4,3,7,7,95,0
Surf City Boro,221,384,2,3,0,2,0,1,1,0,18
Toms River Twp.,"15,600","21,326",239,123,109,19,6,17,24,139,0
Tuckerton  Boro,566,689,5,6,4,0,1,1,2,3,
COUNTY TOTAL,"99,362","132,413","1,428",821,689,130,39,113,120,788,101
