MUNICIPALITIES,"Robert MenendezDemocratic","Joe KyrillosRepublican","Kenneth R. KaplanLibertarian Party","Ken WolskiGreen Party","Gwen DiakosJersey Strong Independents","J. David DranikoffTotally Independent Candidate","Inder 'Andy' SoniAmerica First","Robert 'Turk' TurkavageResponsibility Fairness Integrity","Gregory PasonSocialist Party USA","Eugene Martin LavergneIndependent","Daryl Mikell BrooksReform Nation"
Belleville Twp,"7,117","3,044",45,38,98,3,2,22,7,4,22
Bloomfield Twp.,"12,057","4,711",106,85,134,5,10,15,20,8,31
Caldwell Boro,"1,726","1,563",16,12,18,4,0,4,2,2,3
Cedar Grove Twp.,"2,458","2,871",22,14,62,3,6,7,2,1,7
East Orange  City,"22,135",283,20,17,44,4,8,10,7,3,28
Essex Fells City,322,747,10,1,5,0,0,0,0,0,0
Fairfield Twp.,"1,072","2,008",18,10,18,1,4,2,1,2,4
Glen Ridge Boro,"2,175","1,153",34,22,27,1,1,1,2,0,5
Irvington Twp.,"16,644",309,16,15,39,7,4,7,6,3,27
Livingston Twp.,"7,135","5,394",91,27,62,50,10,12,5,7,23
Maplewood Twp.,"9,129","1,641",55,59,49,5,2,5,8,2,11
Millburn Twp.,"5,027","3,670",64,36,48,20,8,15,6,3,9
Montclair Twp.,"14,671","2,875",103,116,79,15,3,15,32,3,25
Newark City,"69,506","2,844",113,102,206,17,25,37,24,18,98
North Caldwell Boro,"1,222","1,734",24,14,19,13,4,8,6,0,1
Nutley   Twp.,"5,714","4,804",69,58,114,13,12,12,7,3,20
Orange City,"8,635",246,15,12,24,7,1,5,3,4,15
Roseland Boro,"1,356","1,642",12,12,20,5,1,0,1,0,8
South Orange Village Twp.,"6,051","1,136",31,39,36,5,4,8,11,1,8
Verona Twp.,"3,359","2,943",32,22,58,4,1,0,1,1,14
West Caldwell Twp.,"2,355","2,738",27,17,36,17,3,3,5,1,2
West Orange Twp.,"13,538","4,653",105,64,99,26,9,27,13,7,35
COUNTY TOTAL,"213,404","53,009","1,028",792,"1,295",225,118,215,169,73,396
