MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
Allamuchy Twp.,868,"1,489",20,6,0,7,1,0,0,1
Alpha Boro,497,436,13,5,3,3,0,0,0,1
Belvidere Town,521,656,15,5,1,2,0,0,1,0
Blairstown Twp.,910,"1,654",11,11,2,2,0,1,0,1
Franklin Twp.,493,921,16,6,0,3,1,1,0,0
Frelinghuysen Twp.,368,756,13,3,1,2,0,1,0,2
Greenwich Twp.,"1,002","1,415",20,5,1,0,0,1,0,1
Hacketstown Town,"1,661","1,973",37,25,4,5,1,0,2,3
Hardwick Twp.,267,446,12,3,0,1,0,0,0,2
Harmony Twp.,442,702,12,5,0,5,0,1,0,1
Hope Twp.,337,566,12,6,0,0,0,1,1,0
Independence Twp.,964,"1,500",27,10,6,4,0,1,1,2
Knowlton Twp.,441,833,8,4,2,4,1,0,0,0
Liberty Twp.,447,709,13,2,0,2,1,1,3,2
Lopatcong Twp.,"1,638","1,964",25,9,2,10,2,1,1,1
Mansfield Twp.,"1,232","1,789",27,9,1,2,1,2,1,2
Oxford Twp.,403,591,12,5,2,0,0,1,0,0
Phillpsburg Town,"2,487","1,751",40,9,7,7,2,7,7,9
Pohatcong Twp.,634,802,12,5,1,2,0,1,0,1
Washington Boro,"1,158","1,160",16,12,3,1,2,1,2,4
Washington Twp.,"1,118","2,001",31,10,1,3,2,0,2,2
White Twp.,722,"1,540",17,10,3,4,1,0,1,2
Federal Overseas,135,90,1,2,,,,,,
COUNTY TOTAL,"18,745","25,744",410,167,40,69,15,21,22,37
