MUNICIPALITIES,"Robert MenendezDemocratic","Joe KyrillosRepublican","Kenneth R. KaplanLibertarian Party","Ken WolskiGreen Party","Gwen DiakosJersey Strong Independents","J. David DranikoffTotally Independent Candidate","Inder 'Andy' SoniAmerica First","Robert 'Turk' TurkavageResponsibility Fairness Integrity","Gregory PasonSocialist Party USA","Eugene Martin LavergneIndependent","Daryl Mikell BrooksReform Nation"
Andover Boro,120,140,3,4,4,2,0,0,0,0,0
Andover Township,998,"1,614",14,34,36,10,1,4,6,4,0
Branchville Boro,155,235,2,2,5,2,0,0,1,0,0
Byram Twp.,"1,439","2,229",30,29,49,20,2,8,3,2,3
Frankford Twp.,936,"1,803",24,20,39,6,3,5,1,2,0
Franklin Boro,751,"1,060",19,23,33,2,9,2,3,2,1
Fredon Twp.,564,"1,207",12,13,18,2,8,5,2,1,1
Green Twp.,513,"1,139",11,15,23,6,1,2,4,0,1
Hamburg Boro,570,681,15,13,26,6,2,0,6,2,2
Hampton Twp.,925,"1,450",18,27,34,8,2,3,2,1,0
Hardyston Twp.,"1,478","2,071",17,25,46,8,2,4,4,3,2
Hopatcong Boro,"2,499","2,991",56,54,114,28,6,8,7,7,8
Lafayette Twp.,396,826,10,9,20,9,1,0,3,0,1
Montague Twp.,517,953,16,18,17,5,3,3,2,3,0
Newton Town,"1,337","1,443",19,50,56,7,2,8,2,4,4
Ogdensburg Boro,442,605,11,12,13,4,2,2,1,0,1
Sandyston Twp.,311,610,13,12,23,5,0,3,2,1,0
Sparta Twp.,"3,608","6,027",85,84,116,21,14,20,8,5,5
Stanhope Boro,696,791,13,13,20,5,2,0,2,2,0
Stillwater Twp.,721,"1,205",26,26,33,10,2,0,3,1,0
Sussex Boro,250,371,7,3,22,1,0,2,1,0,1
Vernon Twp.,"4,204","5,689",89,126,222,37,12,28,10,8,4
Walpack Twp.,3,9,0,0,0,0,0,0,0,0,0
Wantage Twp.,"1,756","3,092",30,48,81,16,5,7,4,4,4
Federal Overseas,23,9,,,,,,,,,
Removed Residents,,,1,,,,,,,,
COUNTY TOTAL,"25,212","38,250",541,660,"1,050",220,79,114,77,52,38
