MUNICIPALITIES,"Robert MenendezDemocratic","Joe KyrillosRepublican","Kenneth R. KaplanLibertarian Party","Ken WolskiGreen Party","Gwen DiakosJersey Strong Independents","J. David DranikoffTotally Independent Candidate","Inder 'Andy' SoniAmerica First","Robert 'Turk' TurkavageResponsibility Fairness Integrity","Gregory PasonSocialist Party USA","Eugene Martin LavergneIndependent","Daryl Mikell BrooksReform Nation"
Audubon Boro,"2,603","1,578",18,54,13,9,1,2,0,1,2
Audubon Park Boro,350,133,2,4,2,0,0,0,0,0,0
Barrington Boro,"1,972","1,228",12,23,2,6,1,2,1,1,1
Bellmawr Boro,"3,006","1,607",15,27,5,5,2,4,3,4,2
Berlin Boro,"1,815","1,585",13,22,2,5,1,2,0,1,0
Berlin Township,"1,448",696,4,12,5,2,0,3,0,1,0
Brooklawn Boro,513,239,1,10,4,1,1,0,0,0,0
Camden City,"20,786",578,11,42,13,10,8,15,3,12,14
Cherry Hill Twp.,"21,955","12,383",96,208,31,30,6,28,14,9,8
Chesilhurst Boro,595,106,2,1,2,2,1,0,2,2,0
Clementon Boro,"1,271",544,6,16,2,2,1,1,2,2,0
Collingswood Boro,"4,748","1,758",39,110,7,6,1,8,9,0,2
Gibbsboro Boro,670,457,2,9,2,2,1,6,0,1,0
Gloucester City,"2,635","1,100",20,26,7,4,2,4,1,1,1
Gloucester Twp.,"17,838","8,869",66,104,36,35,8,25,8,6,10
Haddon Heights Boro,"4,820","2,871",35,82,11,8,0,10,4,2,0
Haddon Twp.,"3,708","2,906",12,49,7,2,0,6,3,0,1
Haddonfield Boro,"2,272","1,805",14,31,4,4,0,4,1,1,3
Hi-Nella Boro,192,98,2,2,1,2,0,1,0,0,0
Laurel Springs Boro,528,363,2,9,5,1,0,1,1,0,0
Lawnside Boro,"1,592",26,0,4,2,0,0,1,0,1,0
Lindenwood Boro,"4,729","1,054",15,28,8,6,2,4,4,1,2
Magnolia Boro,"1,363",509,8,12,2,0,1,1,0,1,0
Merchantville Boro,"1,158",561,8,12,1,1,0,2,3,1,0
Mount Ephriam Boro,"1,228",711,8,15,3,3,0,1,0,1,1
Oaklyn Boro,"1,144",666,8,25,5,1,0,3,1,1,0
Pennsauken  Twp.,"11,745","2,936",35,58,23,11,0,11,5,4,3
Pine Hill Boro,"2,973",890,11,25,5,9,1,2,0,1,1
Pine Valley Boro,1,11,0,0,0,0,0,0,0,0,0
Runnemede Boro,"2,298","1,084",8,23,3,8,0,2,2,1,0
Somerdale Boro,"1,654",544,7,13,4,4,0,3,1,0,2
Stratford Boro,"1,855","1,171",9,21,4,1,3,4,2,2,2
Travistock Boro,1,2,0,0,0,0,0,0,0,0,0
Voorhees Twp.,"8,421","4,921",48,58,14,14,2,8,0,1,5
Waterford Twp.,"2,477","2,142",12,26,7,5,1,4,0,0,0
WinslowTwp.,"11,778","4,497",38,63,19,17,0,10,5,4,6
Woodlynne Boro,783,105,3,4,0,0,0,0,1,0,0
COUNTY TOTAL,"148,925","62,734",590,"1,228",261,216,44,178,76,63,66
