MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
Aberdeen Twp,"4,109","3,054",55,16,6,4,0,2,0,2
Allenhurst Boro,107,168,1,1,0,0,0,0,0,0
Allentown Boro,540,403,15,3,0,0,0,0,0,0
Asbury Park City,"4,317",480,25,16,4,4,0,0,0,0
Atlantic Highlands Boro,"1,167","1,124",20,11,2,0,2,0,0,0
Avon-by-the-Sea Boro,373,662,8,2,0,0,0,0,0,1
Belmar Boro,"1,196","1,310",25,8,2,0,0,0,0,1
Bradley Beach Boro,"1,026",783,14,10,1,0,0,0,0,0
Brielle Boro,914,"1,893",19,6,2,1,1,0,0,0
Colts Neck Twp,"1,420","3,912",38,7,1,5,1,1,1,1
Deal Boro,88,225,1,0,0,1,0,0,0,0
Eatontown Boro,"2,887","2,344",44,17,1,6,3,2,1,0
Englishtown Boro,351,428,5,1,0,1,0,0,1,1
Fair Haven Boro,"1,411","1,679",27,8,0,1,0,0,0,1
Farmingdale Boro,330,364,5,1,0,1,0,0,0,0
Freehold Boro,"2,182","1,326",35,5,3,1,2,1,1,0
Freehold Twp,"7,242","9,204",135,37,5,6,3,3,2,1
Hazlet Twp,"4,365","4,844",87,37,4,11,2,2,3,2
Highlands Boro,"1,044",837,24,6,0,0,0,0,1,0
Holmdel Twp,"3,063","5,077",53,18,1,0,0,1,1,1
Howell Twp,"9,762","12,529",211,56,13,14,6,4,5,1
Interlaken Boro,224,362,2,1,0,0,0,0,0,0
Keansburg Boro,"1,604","1,056",30,5,1,1,1,2,0,2
Keyport Boro,"1,664","1,234",33,8,1,0,0,0,0,0
Lake Como,390,295,11,1,0,0,0,1,0,1
Little Silver Boro,"1,344","2,186",15,13,0,1,0,0,0,0
Loch Arbour Village,51,68,1,0,0,0,0,0,0,0
Long Branch City,"5,421","2,897",49,19,5,4,0,4,0,0
Manalapan Twp,"8,224","9,949",124,31,2,4,1,3,2,2
Manasquan Boro,"1,201","1,826",17,12,1,1,0,1,0,0
Marlboro Twp,"8,450","9,915",101,37,5,3,2,5,0,1
Matawan Boro,"1,937","1,732",25,16,4,3,2,0,0,0
Middletown Twp,"12,801","18,426",342,70,15,6,3,5,6,1
Millstone Twp,"1,698","3,340",47,8,1,2,0,2,0,0
Monmouth Beach Boro,662,"1,132",9,5,0,0,0,0,1,1
Neptune Twp,"9,350","3,552",80,23,0,5,2,2,1,0
Neptune City Boro,"1,183",897,29,10,2,3,0,1,0,1
Ocean Twp,"6,621","6,326",89,33,6,7,2,3,0,0
Oceanport Boro,"1,200","1,836",20,6,2,0,1,1,1,1
Red Bank Boro,"2,730","1,523",34,30,1,2,1,1,0,1
Roosevelt Boro,339,109,4,3,0,0,0,0,0,1
Rumson Boro,"1,111","2,446",23,4,1,0,0,1,0,0
Sea Bright Boro,270,379,1,6,0,0,1,0,0,0
Sea Girt Boro,294,832,8,3,0,0,0,0,0,0
Shrewsbury Boro,876,"1,205",13,11,1,2,0,0,0,0
Shrewsbury Twp,286,129,11,4,0,2,0,1,0,0
Spring Lake Boro,514,"1,258",12,2,0,0,0,0,1,1
Spring Lake Heights Boro,"1,122","1,481",17,7,1,3,0,0,0,0
Tinton Falls Boro,"4,788","4,329",70,24,2,7,3,0,2,0
Union Beach Boro,"1,109",976,12,5,1,0,1,2,0,1
Upper Freehold Twp,"1,372","2,287",22,12,2,0,0,0,0,0
Wall Twp,"4,954","8,855",114,25,3,7,4,3,2,0
West Long Branch Boro,"1,461","2,029",16,8,1,2,0,3,1,0
COUNTY TOTAL,"133,145","147,513","2,228",708,103,121,44,57,33,26
