MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
Allendale Boro,"1,322","2,057",11,11,1,1,0,0,1,0
Alpine Boro,342,522,4,3,1,0,0,0,0,1
Bergenfield Boro,"6,665","3,773",41,30,3,9,3,3,1,1
Bogota Boro,"2,308","1,085",14,5,3,2,1,0,4,1
Carlstadt  Boro,"1,416","1,165",13,15,1,2,2,0,1,0
Cliffside Park Boro,"5,410","2,627",24,25,1,6,2,6,0,0
ClosterBoro,"1,857","1,639",17,7,2,0,3,0,1,0
Cresskill Boro,"1,777","1,805",11,7,1,2,0,0,0,1
Demarest Boro,"1,211","1,127",6,7,0,2,0,1,1,0
Dumont Boro,"4,407","3,465",62,37,3,2,2,3,0,3
East Rutherford Boro,"1,859","1,340",24,21,0,2,1,0,0,0
Edgewater Boro,"2,392","1,031",18,14,0,3,1,0,0,0
Elmwood Park Boro,"4,506","2,790",29,20,0,5,2,1,1,1
Emerson Boro,"1,532","2,019",15,8,0,2,3,2,0,1
Englewood City,"8,855","2,502",29,24,2,6,3,1,3,3
Englewood Cliffs Boro,"1,086","1,369",10,7,0,0,0,1,1,0
Fair Lawn Boro,"8,374","6,815",102,60,5,7,6,2,4,2
Fairview Boro,"2,549",944,9,10,1,1,1,1,0,4
Fort Lee Boro,"7,891","4,737",45,44,5,2,2,3,2,1
Franklin Lakes Boro,"1,601","3,910",26,15,1,1,1,0,0,0
Garfield City,"5,538","2,540",56,28,3,4,2,2,1,0
Glen Rock Boro,"3,326","2,881",29,16,2,1,1,1,0,0
Hackensack City,"11,335","2,835",44,50,3,7,4,3,1,1
Harrington Park Boro,"1,218","1,340",19,10,1,2,0,0,0,0
Hasbrouck Heights Boro,"2,883","2,669",20,15,3,3,0,1,1,0
Haworth Boro,992,842,4,6,0,0,0,0,1,0
Hillsdale Boro,"2,610","2,837",25,19,1,3,0,0,0,0
Ho-Ho-Kus Boro,826,"1,447",11,8,2,0,0,0,0,0
Leonia Boro,"2,451","1,135",26,13,3,3,0,1,1,0
Little Ferry  Boro,"2,024","1,091",13,11,0,1,0,0,0,0
Lodi Boro,"5,420","2,508",19,28,3,4,1,1,0,0
Lyndhurst Twp.,"4,689","3,536",51,40,4,9,3,3,0,3
Mahwah Twp.,"5,143","6,862",59,31,2,3,2,1,1,0
MaywoodBoro,"2,513","1,877",23,16,1,2,1,1,2,1
Midland Park Boro,"1,533","2,135",19,16,3,1,1,2,0,0
Montvale Boro,"1,718","2,275",25,9,0,1,1,2,1,0
Moonachie  Boro,584,349,2,6,0,2,0,1,0,0
New Milford Boro,"3,780","3,036",30,20,2,3,3,1,0,2
North Arlington Boro,"3,706","2,703",28,18,5,3,0,1,0,0
Northvale Boro,924,"1,100",6,11,1,2,0,0,1,0
Norwood Boro,"1,275","1,296",7,8,1,0,0,1,0,1
Oakland Boro,"2,845","3,631",53,20,1,2,2,1,1,0
Old Tappan Boro,"1,072","1,792",12,8,0,1,0,1,1,0
Oradell Boro,"1,973","2,354",20,13,2,4,0,0,1,0
Palisades Park Boro,"2,487","1,147",22,10,2,2,1,0,2,0
Paramus Boro,"5,907","6,123",34,44,2,5,4,6,3,7
Park Ridge  Boro,"1,957","2,682",27,13,0,3,0,0,0,0
Ramsey Boro,"3,167","4,333",36,19,1,2,0,1,1,2
Ridgefield  Boro,"2,320","1,570",23,13,0,3,1,0,2,0
Ridgefield Park Village,"3,162","1,508",18,15,4,2,4,0,1,1
Ridgewood Village,"6,181","5,852",60,61,4,3,1,0,0,1
River Edge Boro,"2,723","2,337",30,18,3,3,2,0,2,0
River Vale Twp,"2,303","2,962",14,12,3,1,1,0,2,0
Rochelle Park Twp,"1,289","1,238",10,12,0,3,0,0,2,0
Rockleigh Boro,76,89,0,0,0,0,0,0,0,1
Rutherford Boro,"4,771","3,313",55,43,2,8,2,0,1,0
Saddle Brook Twp,"3,264","2,945",32,27,8,8,1,0,0,0
Saddle River Boro,448,"1,268",11,4,0,0,0,0,0,0
South Hackensack Twp,551,389,5,2,0,1,0,0,0,3
Teaneck Twp,"13,875","5,256",55,61,6,7,2,2,3,0
Tenafly Boro,"3,694","2,489",39,18,0,3,1,1,0,0
Teterboro,14,9,1,0,0,0,0,0,0,0
Upper Saddle River Boro,"1,405","2,726",11,6,1,2,2,0,0,0
Waldwick Boro,"2,169","2,606",29,16,2,3,0,0,0,0
Wallington Boro,"1,967","1,548",28,20,5,4,0,1,0,1
Washington Twp,"2,000","2,883",17,10,1,2,1,0,1,1
Westwood Boro,"2,701","2,564",23,17,2,3,2,1,1,0
Woodcliff Lake Boro,"1,374","1,792",11,4,0,2,0,2,0,1
Wood-Ridge Boro,"2,028","1,777",13,15,1,2,0,1,1,0
Wyckoff Twp,"3,183","5,871",37,20,2,5,3,0,1,0
COUNTY TOTAL,"212,754","169,070","1,752","1,270",122,193,82,63,56,45
