MUNICIPALITIES,"Robert MenendezDemocratic","Joe KyrillosRepublican","Kenneth R. KaplanLibertarian Party","Ken WolskiGreen Party","Gwen DiakosJersey Strong Independents","J. David DranikoffTotally Independent Candidate","Inder 'Andy' SoniAmerica First","Robert 'Turk' TurkavageResponsibility Fairness Integrity","Gregory PasonSocialist Party USA","Eugene Martin LavergneIndependent","Daryl Mikell BrooksReform Nation"
Alexandria Twp,808,"1,603",24,15,19,6,1,4,0,5,3
Bethlehem Twp,755,"1,217",35,10,16,3,1,6,1,7,1
Bloomsbury Boro,153,201,3,4,5,1,1,2,0,3,0
Califon Boro,243,250,6,7,4,0,2,3,0,3,0
Clinton Town,564,669,18,6,5,3,1,7,2,1,0
Clinton Township,"2,375","4,064",57,42,29,18,6,19,6,12,6
Delaware Twp,"1,088","1,511",39,15,14,12,2,3,0,4,2
East Amwell Twp,885,"1,243",23,19,13,5,2,4,3,5,1
Flemington Boro,683,650,11,11,16,5,7,1,1,2,1
Franklin Twp,541,"1,066",11,13,13,3,0,2,1,3,2
Frenchtown Boro,380,239,12,10,9,2,1,3,2,2,1
Glen Gardner Boro,316,408,7,1,11,1,0,2,0,0,0
Hampton Boro,237,286,13,7,1,2,3,3,2,4,2
High Bridge Boro,781,805,23,19,8,7,1,6,4,3,1
Holland Twp,930,"1,516",34,11,26,13,2,9,2,8,1
Kingwood Twp,673,"1,176",18,13,8,6,4,3,1,4,1
Lambertville City,"1,605",547,19,19,13,10,1,2,6,5,0
Lebanon Boro,305,437,5,5,5,2,0,3,2,1,1
Lebanon Twp,"1,065","1,858",44,15,22,10,1,8,4,9,1
Milford Boro,270,287,7,8,10,2,0,1,0,2,1
Raritan Twp,"4,464","6,391",88,57,59,35,23,34,5,17,11
Readington Twp,"2,831","5,119",79,46,46,23,9,32,4,14,3
Stockton Boro,164,109,5,2,1,0,0,2,0,2,0
Tewksbury Twp,"1,020","2,168",39,16,17,4,3,11,0,4,1
Union Twp,865,"1,448",24,14,14,6,2,4,1,5,4
West Amwell Twp,675,732,16,16,15,6,2,9,1,2,1
COUNTY TOTAL,"24,676","36,000",660,401,399,185,75,183,48,127,45
