MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
Bloomingdale Boro,"1,670","1,849",32,16,3,5,1,0,0,0
Clifton City,"18,761","10,885",142,95,19,16,6,10,3,14
Haledon Boro,"2,142",735,13,10,2,0,0,0,3,1
Hawthorne Boro,"4,195","4,114",61,30,4,2,2,0,1,1
Little FallsTwp.,"3,190","2,780",25,24,2,2,1,5,0,3
North Haledon Boro,"1,593","2,916",18,14,2,2,3,0,1,0
Passaic City,"12,011","3,447",30,41,22,7,2,6,3,8
Paterson City,"41,662","2,696",45,62,4,14,4,7,2,14
Pompton Lakes Boro,"2,396","2,418",35,17,3,3,2,0,3,0
Prospect Park Boro,"1,744",348,3,8,0,0,0,0,0,1
Ringwood Boro,"2,845","3,411",37,25,5,0,0,0,1,0
Totowa Boro,"2,083","2,834",16,10,5,0,1,1,1,1
Wanaque Boro,"2,400","2,633",26,18,1,4,3,1,1,1
Wayne Twp.,"11,283","13,983",132,72,12,9,5,5,2,6
West Milford Twp.,"4,832","7,003",85,54,8,1,2,1,1,2
Woodland Park,"3,119","2,471",17,19,2,3,1,1,0,1
COUNTY TOTAL,"115,926","64,523",717,515,94,68,33,37,22,53
