MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
Bass River Twp,236,371,9,5,0,1,0,0,0,0
Beverly City,797,330,5,6,1,1,0,0,0,1
Bordentown City,"1,298",605,22,8,0,2,1,1,0,0
Bordentown Twp,"2,949","2,034",54,13,4,1,0,1,1,0
Burlington City,"3,138","1,146",16,11,3,2,0,2,1,0
Burlington Twp,"7,345","3,229",73,17,3,1,0,3,3,3
Chesterfield Twp,"1,195","1,189",29,6,1,0,0,1,0,0
Cinnnaminson Twp,"4,391","4,283",58,27,7,5,0,0,1,1
Delanco Twp.,"1,406",933,16,5,0,1,0,0,0,1
Delran Twp.,"4,623","3,410",42,23,1,2,0,2,0,0
Eastampton Twp,"1,651","1,069",19,9,1,0,0,0,0,0
Edgewater Park Twp.,"2,596","1,083",27,10,1,1,1,1,0,0
Evesham Twp,"12,507","10,863",156,55,9,6,3,2,2,1
Fieldsboro Boro,175,79,6,1,0,0,0,0,0,0
Florence Twp,"3,354","2,539",51,22,2,4,0,0,1,0
Hainesport Twp,"1,545","1,650",11,7,1,0,0,0,0,0
Lumberton Twp,"3,508","2,504",37,7,4,2,1,1,0,1
Mansfield Twp,"2,499","2,447",18,19,2,0,0,0,3,1
Maple Shade Twp.,"5,003","2,546",48,33,2,4,0,2,1,2
Medford Lakes Boro,"1,197","1,194",20,2,1,1,0,0,0,0
Medford Twp.,"5,747","7,499",93,20,4,7,0,2,3,1
Moorestown Twp.,"5,789","5,656",63,32,2,2,0,0,2,1
Mount Holly Twp.,"2,636","1,127",30,10,3,3,2,2,0,3
Mount Laurel Twp.,"12,634","9,797",134,42,8,7,0,1,1,1
New Hanover Twp.,194,246,3,1,1,0,0,0,1,0
North Hanover Twp.,934,"1,211",17,8,1,0,0,0,0,0
Palmyra Boro,"2,308","1,287",37,14,3,0,0,0,1,0
Pemberton Boro,346,294,3,0,1,0,0,0,0,0
Pemberton Township,"6,304","3,157",61,22,11,5,0,2,3,1
RiversideTwp.,"1,816","1,073",20,6,4,1,0,0,0,0
Riverton Boro,838,638,17,4,1,0,0,0,0,1
Shamong Twp.,"1,348","2,084",32,7,0,1,0,0,0,0
Southampton Twp.,"2,547","3,166",31,17,3,1,0,0,1,1
Springfield Twp.,743,"1,071",21,9,2,0,2,0,0,1
Tabernacle Twp.,"1,525","2,247",29,12,4,2,0,0,2,0
Washington Twp.,142,221,2,2,1,2,0,0,0,0
Westampton Twp.,"3,060","1,368",29,7,1,1,0,1,5,2
Willingboro Twp.,"15,635","1,300",24,25,5,1,1,1,3,3
Woodland Twp.,275,379,3,2,0,1,0,0,0,0
Wrightstown Boro,143,76,1,2,0,0,0,0,0,0
COUNTY TOTAL,"126,377","87,401","1,367",528,98,68,11,25,35,26
