MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
Barnegat Twp.,"4,711","5,670",70,29,4,10,11,2,3,3
Barnegat Light Boro,153,222,2,0,0,2,0,0,0,0
Bay Head Boro,188,374,3,0,0,0,0,0,0,0
Beach Haven Boro,206,339,0,3,0,0,2,0,0,0
Beachwood Boro,"2,048","2,264",28,10,2,3,1,1,2,1
Berkeley Twp.,"8,931","11,858",110,38,12,10,27,0,4,1
Brick Twp.,"14,184","18,484",231,76,20,12,26,7,10,5
Eagleswood Twp.,274,455,7,0,0,0,2,0,0,0
Harvey Cedars Boro,105,152,2,0,0,0,0,0,0,0
Island Heights Boro,454,508,7,3,0,0,1,0,0,0
Jackson  Twp.,"10,728","13,752",161,70,9,10,24,0,4,1
Lacey Twp.,"4,998","7,438",95,24,10,5,20,1,3,1
Lakehurst  Boro,438,418,5,0,0,1,0,0,0,0
Lakewood Twp.,"7,062","19,273",47,18,3,2,9,1,4,3
Lavallette Boro,324,646,1,1,0,0,0,0,0,0
Little Egg Harbor Twp.,"3,777","5,129",66,19,2,2,6,1,1,0
Long Beach  Twp,632,"1,166",8,5,1,0,1,1,0,0
Manchester Twp.,"10,041","12,970",100,32,15,5,30,1,3,0
Mantoloking Boro,39,180,0,1,0,0,0,0,0,0
Ocean Twp,"1,693","2,881",22,13,1,0,4,0,1,1
Ocean Gate  Boro,395,415,8,4,1,0,1,0,0,0
Pine Beach Boro,554,648,8,4,1,0,1,0,3,0
Plumsted Twp.,"1,428","2,179",42,12,3,6,2,0,2,0
Point Pleasant Boro,"3,843","5,141",57,21,0,4,6,0,1,0
"",,,,,,,,,,
Point Pleasant Beach Boro,891,"1,373",13,6,0,0,1,0,0,0
Seaside Heights Boro,205,231,6,2,0,2,0,0,0,0
Seaside Park Boro,247,484,6,3,0,1,0,0,0,0
Ship Bottom Boro,248,335,1,1,0,0,0,0,0,0
South Toms River Boro,802,411,15,4,1,3,4,0,0,1
Stafford Twp,"5,075","7,159",77,26,5,3,23,2,1,1
Surf City Boro,246,402,1,1,0,0,0,0,0,0
Toms River Twp.,"16,776","22,773",258,78,10,12,37,1,6,6
Tuckerton  Boro,604,745,10,3,0,1,3,0,1,0
COUNTY TOTAL,"102,300","146,475","1,467",507,100,94,242,18,49,24
