MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
Bayonne City,"13,467","6,605",98,55,11,16,4,8,3,2
East Newark Boro,400,80,4,2,0,0,0,0,0,0
Guttenberg Town,"2,507",692,17,14,4,1,4,0,0,1
Harrison Town,"2,699",689,27,19,1,2,0,2,1,2
Hoboken City,"14,443","7,078",213,87,3,11,3,3,2,3
Jersey City,"64,052","10,120",366,268,22,51,9,19,7,9
Kearny Town,"7,579","3,293",56,45,5,12,3,4,2,2
North Bergen Town,"15,600","4,209",66,57,11,17,5,3,2,3
Secaucus Town,"4,188","2,609",32,18,2,2,0,2,0,0
Union City,"14,569","3,050",50,48,5,19,4,3,1,4
Weehawken Twp.,"3,692","1,169",45,28,1,4,2,2,1,0
West New York Town,"9,682","2,725",27,32,2,10,4,7,1,2
Federal Overseas,230,50,1,1,,,,,,
COUNTY TOTAL,"153,108","42,369","1,002",674,67,145,38,53,20,28
