MUNICIPALITIES,"Robert MenendezDemocratic","Joe KyrillosRepublican","Kenneth R. KaplanLibertarian Party","Ken WolskiGreen Party","Gwen DiakosJersey Strong Independents","J. David DranikoffTotally Independent Candidate","Inder 'Andy' SoniAmerica First","Robert 'Turk' TurkavageResponsibility Fairness Integrity","Gregory PasonSocialist Party USA","Eugene Martin LavergneIndependent","Daryl Mikell BrooksReform Nation"
East Windsor Twp.,"6,799","3,276",51,73,19,15,20,36,2,4,14
Ewing Twp.,"11,251","3,970",84,93,23,26,2,47,15,2,23
Hamilton Twp.,"22,111","15,382",212,234,78,67,16,180,23,21,34
Hightstown Boro,"1,262",711,17,17,6,3,1,12,0,0,0
Hopewell Boro,773,285,2,11,1,4,0,3,2,0,0
Hopewell Twp.,"4,995","3,970",47,62,7,11,6,20,2,1,4
Lawrence Twp.,"9,389","4,302",86,102,20,11,14,47,16,4,14
Pennington  Boro,929,484,7,14,1,1,0,4,0,0,0
Princeton,"8,940","2,856",57,130,8,11,3,23,18,0,6
Robbinsville Twp.,"3,106","3,066",35,40,9,7,8,20,4,0,1
Trenton City,"21,040","1,302",43,78,20,11,6,61,10,17,48
West Windsor Twp.,"7,369","4,189",59,85,9,17,19,20,7,3,3
COUNTY TOTAL,"97,964","43,793",700,939,201,184,95,473,99,52,147
