MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
Boonton Town,"1,882","1,720",26,12,0,3,1,0,2,0
Boonton Township,870,"1,430",17,10,0,0,0,0,0,1
Butler Boro,"1,430","1,811",31,4,2,1,2,2,1,1
Chatham Boro,"2,045","2,501",21,9,0,1,0,1,1,0
Chatham Twp,"2,064","3,393",31,4,1,2,1,0,0,0
Chester Boro,273,506,4,2,0,0,0,0,1,0
Chester Township,"1,235","2,579",18,6,0,0,0,0,1,0
Denville Twp,"3,805","4,898",74,23,7,2,5,1,3,1
Dover Town,"3,223","1,195",16,5,3,5,4,1,0,1
East Hanover Twp,"1,888","4,150",21,7,2,1,1,1,0,0
Florham Park Boro,"2,165","3,273",25,7,2,2,1,0,0,1
Hanover Twp,"2,740","4,384",37,13,5,3,4,3,1,1
Harding Twp,654,"1,607",10,8,3,1,0,0,0,0
Jefferson Twp,"3,757","5,370",52,18,4,4,6,5,5,0
Kinnelon Boro,"1,772","3,497",50,6,3,0,6,0,3,0
Lincoln Park Boro,"1,967","2,301",19,11,2,2,1,0,3,1
Long Hill Twp,"1,690","2,605",23,6,0,0,1,2,1,1
Madison Boro,"3,589","3,715",44,17,6,5,0,1,2,1
Mendham Boro,906,"1,666",11,3,1,0,0,0,0,0
Mendham Twp,"1,130","2,108",21,6,0,1,0,0,0,0
Mine Hill Twp,799,802,17,7,0,1,3,0,1,0
Montville Twp,"4,101","6,460",59,11,3,0,34,2,0,33
Morris Plains Boro,"1,429","1,659",18,6,0,2,0,1,0,0
Morris Twp,"5,679","6,133",73,28,1,4,2,2,1,2
Morristown Town,"4,485","2,117",57,7,3,5,1,2,3,1
Mount Arlington Boro,"1,036","1,457",13,3,2,0,1,0,1,0
Mount Olive Twp,"4,855","5,664",65,31,4,4,6,2,1,0
Mountain Lakes Boro,893,"1,262",14,2,1,0,0,0,2,0
Netcong Boro,514,649,7,2,0,0,1,2,1,2
Parsippany-Troy Hills Twp,"11,324","9,948",140,58,6,12,8,4,1,4
Pequannock Twp.,"3,326","4,850",40,19,6,0,6,1,3,1
Randolph Twp,"5,662","6,636",66,33,Bar5a,k Obama1 (,")5",3,5,1
Riverdale Boro,816,"1,085",12,1,1,0,2,2,0,1
Rockaway Boro,"1,362","1,464",12,5,2,1,1,1,0,0
Rockaway Twp,"5,562","6,410",88,41,Mit8t,omney (2 R,")6",5,3,0
Roxbury Twp,"4,282","6,536",61,24,0,2,2,8,2,1
Victory Gardens Boro,301,65,2,0,0,0,0,0,0,0
Washington Twp,"3,278","6,021",68,22,2,8,2,2,1,2
Wharton Boro,"1,310","1,006",11,7,1,1,1,1,1,1
Federal Overseas,45,13,1,1,,,,,,
Residents Removed,2,1,,,,,,,,
COUNTY TOTAL,"100,146","124,947","1,375",485,86,76,114,55,50,58
