MUNICIPALITIES,"Robert MenendezDemocratic","Joe KyrillosRepublican","Kenneth R. KaplanLibertarian Party","Ken WolskiGreen Party","Gwen DiakosJersey Strong Independents","J. David DranikoffTotally Independent Candidate","Inder 'Andy' SoniAmerica First","Robert 'Turk' TurkavageResponsibility Fairness Integrity","Gregory PasonSocialist Party USA","Eugene Martin LavergneIndependent","Daryl Mikell BrooksReform Nation"
Bass River Twp,232,343,6,4,0,1,0,0,0,0,0
Beverly City,751,324,3,2,0,1,0,0,0,0,0
Bordentown City,"1,190",601,10,15,4,3,0,1,1,1,0
Bordentown Twp,"2,821","1,972",20,10,0,5,8,0,0,1,0
Burlington City,"3,017","1,029",17,8,0,3,7,3,2,2,1
Burlington Twp,"7,073","3,038",31,11,5,5,12,3,1,2,7
Chesterfield Twp,"1,129","1,144",12,5,3,2,3,1,4,0,1
Cinnnaminson Twp,"4,293","3,996",26,24,4,5,6,1,8,0,1
Delanco Twp.,"1,344",881,6,2,3,1,0,3,1,11,0
Delran Twp.,"4,492","3,089",18,13,3,6,4,2,2,0,3
Eastampton Twp,"1,637",973,8,6,1,1,3,0,0,0,0
Edgewater Park Twp.,"2,472","1,035",12,7,1,2,3,0,0,1,0
Evesham Twp,"11,974","10,103",47,28,9,11,20,9,6,5,3
Fieldsboro Boro,167,71,2,0,0,2,0,0,0,0,0
Florence Twp,"3,164","2,423",25,9,4,4,5,1,2,1,2
Hainesport Twp,"1,490","1,564",14,2,2,1,6,1,2,1,0
Lumberton Twp,"3,356","2,391",20,6,4,7,1,3,0,3,3
Mansfield Twp,"2,369","2,283",15,5,3,2,13,3,1,0,5
Maple Shade Twp.,"4,788","2,263",23,21,4,7,5,4,5,0,4
Medford Lakes Boro,"1,102","1,164",10,2,0,4,1,0,0,0,0
Medford Twp.,"5,578","7,145",38,9,9,13,7,9,1,3,3
Moorestown Twp.,"5,528","5,473",22,28,5,7,3,6,5,1,3
Mount Holly Twp.,"2,511","1,070",12,8,6,4,4,0,0,0,3
Mount Laurel Twp.,"12,137","9,361",51,34,10,15,18,7,5,2,7
New Hanover Twp.,175,237,0,1,1,0,0,1,0,0,0
North Hanover Twp.,901,"1,144",6,4,0,2,2,1,0,0,1
Palmyra Boro,"2,234","1,181",14,9,3,5,4,4,3,0,5
Pemberton Boro,322,278,1,0,0,1,0,0,0,0,0
Pemberton Township,"6,020","2,936",25,19,13,16,10,8,6,1,6
RiversideTwp.,"1,763",954,9,3,1,5,5,1,1,4,1
Riverton Boro,830,596,6,6,0,2,0,0,0,1,1
Shamong Twp.,"1,314","1,951",11,3,1,4,2,0,0,1,2
Southampton Twp.,"2,384","3,020",19,12,5,7,1,3,6,1,0
Springfield Twp.,708,"1,025",10,3,2,0,5,0,0,0,1
Tabernacle Twp.,"1,465","2,165",13,6,4,4,3,1,1,0,1
Washington Twp.,136,195,3,2,0,2,1,0,0,0,1
Westampton Twp.,"2,964","1,310",10,8,2,3,3,2,3,1,0
Willingboro Twp.,"15,006","1,223",17,10,4,4,6,4,3,4,6
Woodland Twp.,250,355,2,1,1,0,1,0,0,1,1
Wrightstown Boro,124,68,0,2,0,0,0,0,1,0,0
COUNTY TOTAL,"121,211","82,374",594,348,117,167,172,82,70,48,72
