MUNICIPALITIES,"Robert MenendezDemocratic","Joe KyrillosRepublican","Kenneth R. KaplanLibertarian Party","Ken WolskiGreen Party","Gwen DiakosJersey Strong Independents","J. David DranikoffTotally Independent Candidate","Inder 'Andy' SoniAmerica First","Robert 'Turk' TurkavageResponsibility Fairness Integrity","Gregory PasonSocialist Party USA","Eugene Martin LavergneIndependent","Daryl Mikell BrooksReform Nation"
Bedminster Twp.,"1,813","2,333",31,7,7,5,3,12,2,0,1
Bernards Twp.,"5,102","7,460",78,31,17,12,15,28,6,1,3
Bernardsville Boro,"1,301","2,251",24,13,0,4,2,4,4,1,3
Bound Brook Boro,"1,525","1,038",28,9,4,4,0,6,5,1,2
Branchburg Twp.,"2,747","4,306",61,23,12,11,8,23,6,1,3
Bridgewater Twp.,"8,885","10,172",161,60,28,25,23,50,15,4,11
Far Hills Boro,127,335,3,0,0,0,0,1,0,1,0
Franklin Twp.,"18,525","7,252",135,91,48,35,56,62,25,7,7
Green Brook Twp.,"1,309","1,559",24,8,6,7,3,10,2,2,0
Hillsborough Twp.,"8,355","8,599",183,72,37,26,27,58,17,3,3
Manville Boro,"1,621","1,499",26,15,12,8,3,24,5,2,1
Millstone Boro,109,115,4,0,0,0,0,1,0,0,0
Montgomery Twp.,"5,217","4,786",70,43,16,11,15,25,17,1,4
North Plainfield Boro,"4,419","1,550",38,20,7,5,2,11,7,1,2
Peapack & Gladstone Boro,413,774,18,6,2,2,0,3,1,1,2
Raritan Boro,"1,283","1,230",22,5,7,5,7,7,1,1,1
Rocky Hill Boro,242,137,1,3,2,0,0,1,1,0,0
Somerville Boro,"2,593","1,612",43,10,2,4,1,8,6,3,0
South Bound Brook Boro,946,590,13,3,3,4,0,7,1,0,0
Warren Twp.,"2,584","4,186",55,27,7,13,7,16,11,2,1
Watchung Boro,"1,148","1,565",17,11,3,7,1,3,4,0,0
COUNTY TOTAL,"70,264","63,349","1,035",457,220,188,173,360,136,32,44
