MUNICIPALITIES,"Robert MenendezDemocratic","Joe KyrillosRepublican","Kenneth R. KaplanLibertarian Party","Ken WolskiGreen Party","Gwen DiakosJersey Strong Independents","J. David DranikoffTotally Independent Candidate","Inder 'Andy' SoniAmerica First","Robert 'Turk' TurkavageResponsibility Fairness Integrity","Gregory PasonSocialist Party USA","Eugene Martin LavergneIndependent","Daryl Mikell BrooksReform Nation"
Allamuchy Twp.,836,"1,419",13,4,7,1,3,2,0,0,1
Alpha Boro,468,376,5,6,5,4,2,0,0,0,2
Belvidere Town,512,598,7,13,5,2,4,2,0,0,1
Blairstown Twp.,895,"1,553",13,14,5,5,2,3,2,2,1
Franklin Twp.,458,887,8,6,5,0,1,2,0,0,3
Frelinghuysen Twp.,333,727,7,4,2,0,2,0,1,0,0
Greenwich Twp.,941,"1,331",15,5,8,1,4,4,1,1,2
Hacketstown Town,"1,572","1,900",20,16,6,1,4,6,5,2,4
Hardwick Twp.,261,418,7,2,5,2,1,0,0,1,0
Harmony Twp.,424,635,5,11,10,3,2,1,2,1,2
Hope Twp.,317,533,3,11,3,0,0,0,0,3,0
Independence Twp.,924,"1,414",17,15,9,2,1,1,1,1,3
Knowlton Twp.,426,799,3,7,4,2,0,0,0,0,1
Liberty Twp.,413,678,7,4,4,1,0,2,1,0,2
Lopatcong Twp.,"1,543","1,826",15,6,11,6,9,5,3,1,4
Mansfield Twp.,"1,172","1,681",12,10,12,4,8,0,2,2,3
Oxford Twp.,376,558,8,5,9,2,1,0,0,1,2
Phillpsburg Town,"2,410","1,524",29,13,19,9,11,13,2,3,2
Pohatcong Twp.,645,691,6,0,4,4,1,3,0,0,1
Washington Boro,"1,068","1,100",10,13,7,6,5,4,4,0,2
Washington Twp.,"1,047","1,931",11,11,14,5,2,4,2,0,4
White Twp.,752,"1,391",7,7,7,6,2,2,0,1,1
Federal Overseas,111,76,1,3,4,3,1,0,1,0,0
COUNTY TOTAL,"17,904","24,046",229,186,165,69,66,54,27,19,41
