MUNICIPALITIES,"Robert MenendezDemocratic","Joe KyrillosRepublican","Kenneth R. KaplanLibertarian Party","Ken WolskiGreen Party","Gwen DiakosJersey Strong Independents","J. David DranikoffTotally Independent Candidate","Inder 'Andy' SoniAmerica First","Robert 'Turk' TurkavageResponsibility Fairness Integrity","Gregory PasonSocialist Party USA","Eugene Martin LavergneIndependent","Daryl Mikell BrooksReform Nation"
Clayton Boro,"2,239","1,040",45,40,4,2,0,0,2,0,2
Deptford Twp.,"8,401","4,202",124,123,18,8,5,3,1,1,7
East Greenwich Twp.,"2,384","2,460",49,34,9,2,0,2,2,0,0
Elk Twp.,"1,135",926,22,13,4,1,0,0,2,1,0
Franklin Twp.,"3,719","3,221",109,64,18,8,2,1,2,0,2
Glassboro Boro,"4,520","2,184",79,90,11,3,2,0,1,2,5
Greenwich Twp.,"1,572",962,25,21,6,1,0,0,0,0,4
Harrison Twp.,"2,591","3,270",79,47,4,6,0,0,1,1,2
Logan Twp.,"1,768","1,042",41,29,1,1,0,0,0,0,1
Mantua Twp.,"3,883","3,288",99,70,7,5,4,3,3,0,2
Monroe Twp.,"9,085","5,573",149,126,17,8,5,4,3,2,6
National Park Boro,836,373,19,16,1,0,0,1,0,0,0
Newfield Boro,401,335,8,6,1,1,0,2,0,0,0
Paulsboro Boro,"1,934",380,15,19,4,2,1,0,0,2,0
Pitman Boro,"2,337","1,858",78,40,1,5,0,2,3,0,0
South Harrison Twp.,616,920,25,22,1,1,0,0,1,0,0
Swedesboro Boro,597,389,21,15,0,3,0,0,0,1,0
Washington Twp.,"12,311","10,774",214,192,19,8,4,4,9,0,4
Wenonah Boro,696,579,27,35,1,0,0,0,2,0,2
West Deptford Twp.,"6,122","4,001",107,115,11,5,2,0,5,0,1
Westville Boro,950,617,36,24,4,0,1,0,1,0,1
Woodbury City,"2,879","1,258",42,46,3,2,1,0,3,0,0
Woodbury Heights Boro,986,605,13,15,4,0,0,0,0,0,0
Woolwich Twp.,"2,284","2,321",47,28,3,2,0,0,1,0,2
Federal Overseas,25,13,1,,,,,,,,
COUNTY TOTAL,"74,271","52,591","1,474","1,230",152,74,27,22,42,10,41
