MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
BellevilleTwp.,"8,031","4,071",55,30,4,9,7,1,1,2
Bloomfield Twp.,"13,361","5,501",121,76,11,8,13,5,7,4
Caldwell Boro,"1,814","1,799",19,7,2,1,0,1,0,1
Cedar Grove Twp.,"2,621","3,541",32,8,5,3,8,0,1,1
East Orange  City,"24,862",330,15,16,2,2,4,2,2,3
Essex Fells City,347,829,8,0,0,0,0,0,0,0
Fairfield Twp.,"1,069","2,494",24,3,1,1,1,0,1,1
Glen Ridge Boro,"2,415","1,396",23,16,3,1,1,0,0,0
Irvington Twp.,"18,538",363,11,10,8,1,2,2,3,1
Livingston Twp.,"7,303","6,863",75,23,1,6,2,4,2,3
Maplewood Twp.,"10,007","1,764",47,32,3,4,1,1,0,3
Millburn Twp.,"5,142","4,087",38,18,1,6,2,3,2,0
Montclair Twp.,"15,811","3,034",94,88,4,6,6,1,1,1
Newark City,"78,352","3,852",93,84,16,18,41,15,11,20
North Caldwell Boro,"1,253","2,043",22,15,2,2,4,0,0,0
Nutley   Twp.,"6,507","6,273",75,46,5,6,11,1,0,4
Orange City,"9,828",291,17,15,1,2,3,1,1,2
Roseland Boro,"1,391","1,983",8,11,1,0,2,0,0,1
South Orange Village Twp.,"6,566","1,270",28,25,2,2,1,3,1,0
Verona Twp.,"3,662","3,563",34,19,2,1,1,1,1,2
West Caldwell Twp.,"2,524","3,109",32,9,2,1,2,1,0,3
West Orange Twp.,"15,214","5,950",91,51,12,8,6,3,1,5
COUNTY TOTAL,"236,618","64,406",962,602,88,88,118,45,35,57
