MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
Absecon City,"2,172","2,063",23,8,3,5,0,1,3,0
Atlantic City,"9,948","1,548",21,13,4,3,0,3,3,2
Brigantine City,"2,068","2,462",26,12,3,5,0,0,3,0
Buena Boro,"1,011",847,8,5,0,2,0,0,3,0
Buena Vista Twp.,"1,920","1,483",20,5,6,5,0,0,0,0
Corbin City,91,138,2,2,0,0,0,2,1,0
Egg Harbor City,"1,121",674,12,2,1,9,0,1,1,1
Egg Harbor Twp,"9,854","7,989",103,34,8,0,3,3,7,0
Estell Manor City,368,525,3,3,0,0,0,0,1,0
Folsom Boro,427,442,4,1,0,4,0,0,1,0
Galloway Twp.,"8,707","6,935",106,35,11,20,8,4,4,2
Hamilton Twp.,"6,748","4,334",71,21,8,10,8,5,7,0
Hammonton,"2,777","3,420",34,10,3,4,1,0,4,1
Linwood City,"1,592","2,190",25,7,1,5,1,0,0,0
Longport Boro,160,337,3,0,0,0,0,1,0,0
Margate City,"1,534","1,882",9,4,2,4,0,0,1,1
Mullica Twp.,"1,430","1,439",19,8,0,4,2,3,4,1
Northfield Twp.,"2,077","2,059",22,8,4,6,0,0,0,0
Pleasantville City,"5,675",450,8,5,0,1,0,0,9,0
Port Republic,274,390,7,2,0,0,0,0,0,1
Somers Point City,"2,506","2,077",30,7,5,4,1,3,3,0
Ventnor City,"2,170","1,965",16,7,1,2,1,2,1,0
Weymouth Twp.,650,701,3,2,0,1,0,0,2,1
Federal Overseas,320,172,4,2,,,,,,
COUNTY TOTAL,"65,600","46,522",579,203,60,94,25,28,58,10
