MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
Berkeley Heights Twp.,"2,799","3,897",46,14,7,9,0,0,0,0
Clark Twp.,"3,041","4,538",54,20,10,5,4,1,1,2
Cranford Twp.,"6,236","5,772",82,33,18,3,2,1,1,1
Elizabeth City,"24,751","5,213",60,37,27,12,12,7,4,7
Fanwood Boro,"2,164","1,710",35,6,5,2,1,0,0,0
Garwood Boro,968,957,26,7,1,1,3,0,0,0
Hillside Twp.,"8,059","1,186",11,3,4,3,0,1,0,1
Kenilworth Boro,"1,535","1,775",23,9,1,0,3,2,1,0
Linden City,"11,213","3,814",53,37,22,5,9,3,4,2
Mountainside Boro,"1,401","2,100",18,7,1,2,1,1,0,0
New Providence Boro,"2,726","3,267",47,16,3,0,1,1,0,0
Plainfield City,"14,640",909,21,10,6,3,3,2,0,1
Rahway City,"8,413","2,648",62,27,9,3,2,2,1,1
Roselle Boro,"8,034",875,24,14,9,2,1,2,1,0
Roselle Park Boro,"3,064","1,931",33,18,12,4,4,1,2,1
Scotch Plains Twp.,"6,801","5,394",86,24,8,10,2,2,1,2
Springfield Twp.,"4,083","3,179",31,22,4,1,1,0,4,0
Summit City,"4,895","4,859",77,18,4,3,5,1,1,0
Union Twp.,"16,423","6,464",74,41,18,6,9,3,3,1
Westfield Town,"8,080","7,555",84,42,8,5,3,3,2,0
Winfield  Twp.,426,271,5,5,1,0,1,0,1,0
COUNTY TOTAL,"139,752","68,314",952,410,178,79,67,33,27,19
