MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
Audubon Boro,"2,718","1,704",35,29,2,2,1,1,0,0
Audubon Park Boro,368,164,5,1,0,1,0,0,0,0
Barrington Boro,"2,015","1,310",23,8,3,5,0,1,2,0
Bellmawr Boro,"3,064","1,788",37,18,3,2,0,1,2,0
Berlin Boro,"1,851","1,720",30,9,1,1,0,0,2,1
Berlin Township,"1,502",814,11,6,1,1,0,0,0,0
Brooklawn Boro,542,266,4,2,1,1,0,1,0,0
Camden City,"22,254",683,10,27,5,8,2,1,2,2
Cherry Hill Twp.,"22,128","13,872",196,117,19,13,3,1,2,2
Chesilhurst Boro,629,123,4,1,3,0,0,0,0,0
Clementon Boro,"1,316",607,13,8,1,2,0,0,1,0
Collingswood Boro,"4,927","1,892",70,49,7,9,0,1,2,1
Gibbsboro Boro,705,517,6,1,2,0,0,0,2,0
Gloucester City,"2,624","1,303",39,23,4,3,0,1,2,0
Gloucester Twp.,"18,178","9,999",159,74,24,8,3,0,2,1
Haddon Twp.,"4,975","3,104",83,46,2,7,3,1,1,0
Haddonfield Boro,"3,849","3,054",29,19,1,2,0,0,0,0
Haddon Heights Boro,"2,352","1,891",36,14,0,1,0,0,0,0
Hi-Nella Boro,213,98,7,1,0,2,0,0,1,0
Laurel Springs Boro,558,374,5,7,1,1,0,0,1,0
Lawnside Boro,"1,671",34,0,0,2,0,0,0,0,0
Lindenwood Boro,"4,936","1,152",34,20,6,3,1,0,3,0
Magnolia Boro,"1,383",580,9,5,0,1,0,0,1,2
Merchantville Boro,"1,190",592,11,12,0,2,0,0,0,0
Mount Ephriam Boro,"1,278",793,20,7,6,1,0,1,0,0
Oaklyn Boro,"1,200",704,20,15,2,0,0,1,0,0
Pennsauken  Twp.,"12,200","3,233",71,41,8,6,3,3,2,1
Pine Hill Boro,"3,087",987,30,13,4,1,2,0,1,1
Pine Valley Boro,2,11,0,0,0,0,0,0,0,0
Runnemede Boro,"2,348","1,275",16,12,2,1,0,0,1,0
Somerdale Boro,"1,718",635,10,7,0,2,0,0,0,0
Stratford Boro,"1,911","1,282",25,13,5,3,1,0,1,0
Travistock Boro,1,2,0,0,0,0,0,0,0,0
Voorhees Twp.,"8,479","5,450",88,36,6,5,0,2,0,0
Waterford Twp.,"2,501","2,406",31,20,2,2,1,1,0,1
WinslowTwp.,"12,183","4,937",80,34,13,5,2,1,1,1
Woodlynne Boro,826,120,3,2,0,0,0,1,0,0
COUNTY TOTAL,"153,682","69,476","1,250",697,136,101,22,19,32,13
