MUNICIPALITIES,"Robert MenendezDemocratic","Joe KyrillosRepublican","Kenneth R. KaplanLibertarian Party","Ken WolskiGreen Party","Gwen DiakosJersey Strong Independents","J. David DranikoffTotally Independent Candidate","Inder 'Andy' SoniAmerica First","Robert 'Turk' TurkavageResponsibility Fairness Integrity","Gregory PasonSocialist Party USA","Eugene Martin LavergneIndependent","Daryl Mikell BrooksReform Nation"
Allendale Boro,"1,217","1,916",5,24,6,0,2,0,0,0,1
Alpine Boro,358,426,2,4,2,1,0,0,0,0,1
Bergenfield Boro,"6,314","3,149",26,66,19,9,10,2,10,1,4
Bogota Boro,"2,182",963,5,13,8,2,5,1,2,0,1
Carlstadt  Boro,"1,348",997,6,29,7,1,2,2,2,0,0
Cliffside Park Boro,"5,187","2,200",27,47,10,8,5,4,5,4,2
ClosterBoro,"1,782","1,400",12,30,5,0,3,2,1,0,1
Cresskill Boro,"1,689","1,526",13,15,8,3,5,1,1,2,2
Demarest Boro,"1,181","1,001",3,9,4,2,0,2,1,0,1
Dumont Boro,"4,178","3,049",26,59,9,4,1,0,2,1,1
East Rutherford Boro,"1,711","1,156",10,44,3,2,2,1,3,2,0
Edgewater Boro,"2,248",850,19,21,6,0,8,5,1,0,0
Elmwood Park Boro,"4,092","2,275",20,76,10,3,6,3,2,3,5
Emerson Boro,"1,475","1,778",9,18,2,0,5,2,0,0,3
Englewood City,"8,315","1,791",24,49,10,5,6,3,5,4,5
Englewood Cliffs Boro,"1,093","1,155",12,15,4,3,4,0,0,1,1
Fair Lawn Boro,"8,142","5,684",76,96,28,17,19,7,6,7,8
Fairview Boro,"2,442",737,6,19,3,6,0,2,1,2,0
Fort Lee Boro,"7,509","3,924",40,86,13,13,9,6,4,3,2
Franklin Lakes Boro,"1,541","3,489",13,26,7,2,5,0,0,0,1
Garfield City,"4,889","1,941",36,138,15,7,15,4,4,3,4
Glen Rock Boro,"3,093","2,602",17,34,8,4,6,2,2,0,0
Hackensack City,"10,580","2,467",22,87,15,11,10,6,8,3,3
Harrington Park Boro,"1,167","1,183",12,18,5,3,3,2,2,0,3
Hasbrouck Heights Boro,"2,700","2,348",15,40,3,2,11,1,3,3,2
Haworth Boro,976,733,3,9,1,0,2,0,2,0,0
Hillsdale Boro,"2,536","2,464",18,44,6,4,3,1,1,0,5
Ho-Ho-Kus Boro,772,"1,325",14,14,3,1,1,0,0,1,0
Leonia Boro,"2,335",975,17,25,3,3,4,3,2,1,3
Little Ferry  Boro,"1,904",903,7,14,5,2,10,1,2,0,0
Lodi Boro,"4,961","2,098",16,56,15,4,8,3,3,3,3
Lyndhurst Twp.,"4,256","2,954",43,74,21,6,12,9,7,2,6
Mahwah Twp.,"4,727","5,855",41,79,20,6,11,4,2,3,4
MaywoodBoro,"2,404","1,629",14,41,6,1,1,3,1,0,3
Midland Park Boro,"1,401","1,932",7,35,5,1,1,0,2,2,3
Montvale Boro,"1,640","2,003",17,29,6,4,3,1,0,1,4
Moonachie  Boro,551,255,4,6,1,1,0,0,4,2,0
New Milford Boro,"3,603","2,672",12,46,10,5,6,3,2,2,3
North Arlington Boro,"3,565","2,279",22,47,10,4,9,2,2,0,3
Northvale Boro,934,941,9,8,1,3,1,1,0,0,3
Norwood Boro,"1,202","1,151",6,14,4,3,4,0,1,0,0
Oakland Boro,"2,704","3,192",35,45,5,2,8,0,1,0,1
Old Tappan Boro,"1,014","1,594",5,9,1,5,3,1,0,0,0
Oradell Boro,"1,894","2,132",14,21,8,5,2,1,2,1,1
Palisades Park Boro,"2,343",983,11,22,3,2,4,2,0,0,3
Paramus Boro,"5,852","5,232",31,73,21,8,25,2,5,1,4
Park Ridge  Boro,"1,883","2,374",19,31,8,1,4,0,2,0,1
Ramsey Boro,"2,951","3,970",25,45,12,3,8,1,4,0,2
Ridgefield  Boro,"2,218","1,342",14,15,5,2,4,1,6,1,2
Ridgefield Park Village,"2,940","1,263",12,31,9,2,5,1,1,3,1
Ridgewood Village,"5,806","5,337",42,88,20,5,11,4,5,3,5
River Edge Boro,"2,631","2,052",16,40,3,7,1,1,2,1,2
River Vale Twp,"2,158","2,641",8,30,8,3,4,2,2,0,1
Rochelle Park Twp,"1,207","1,021",8,22,8,3,3,3,1,1,0
Rockleigh Boro,71,84,0,1,0,0,2,0,0,0,0
Rutherford Boro,"4,505","2,984",38,86,17,9,8,8,5,1,6
Saddle Brook Twp,"3,016","2,343",21,43,9,4,7,3,3,0,6
Saddle River Boro,447,"1,189",6,6,0,1,0,0,0,0,0
South Hackensack Twp,496,302,3,3,2,1,0,1,0,1,0
Teaneck Twp,"13,795","3,457",51,88,13,13,16,8,7,5,9
Tenafly Boro,"3,628","2,107",17,42,9,5,4,3,2,2,1
Teterboro,10,7,1,0,0,0,0,0,0,0,0
Upper Saddle River Boro,"1,353","2,450",10,24,6,6,2,5,0,0,2
Waldwick Boro,"2,036","2,268",18,38,8,5,2,3,0,3,0
Wallington Boro,"1,840","1,238",15,85,5,4,3,1,2,2,2
Washington Twp,"1,872","2,514",8,25,3,3,0,2,1,1,4
Westwood Boro,"2,519","2,305",25,32,13,4,6,1,4,1,3
Woodcliff Lake Boro,"1,387","1,527",5,19,5,1,1,1,1,0,2
Wood-Ridge Boro,"2,004","1,473",10,33,2,4,1,2,2,1,0
Wyckoff Twp,"3,090","5,152",26,49,14,6,3,0,2,1,3
COUNTY TOTAL,"201,870","144,709","1,200","2,650",544,270,355,146,156,85,152
