MUNICIPALITIES,"Robert MenendezDemocratic","Joe KyrillosRepublican","Kenneth R. KaplanLibertarian Party","Ken WolskiGreen Party","Gwen DiakosJersey Strong Independents","J. David DranikoffTotally Independent Candidate","Inder 'Andy' SoniAmerica First","Robert 'Turk' TurkavageResponsibility Fairness Integrity","Gregory PasonSocialist Party USA","Eugene Martin LavergneIndependent","Daryl Mikell BrooksReform Nation"
Alloway Twp.,731,912,20,9,5,3,6,3,1,12,4
Carneys Point Twp.,"1,964","1,217",24,22,17,6,6,6,2,25,7
Elmer Boro,240,315,6,4,0,0,3,1,0,4,1
Elsinboro Twp.,263,330,5,4,2,1,2,1,1,2,2
Lower Alloways Creek Twp.,393,492,5,3,4,0,3,1,0,6,2
Mannington Twp.,297,376,9,2,3,3,5,6,2,2,2
Oldmans Twp.,452,415,8,11,2,5,2,1,2,6,2
Penns Grove Boro,"1,162",223,1,7,6,4,4,3,2,6,11
Pennsville Twp.,"2,929","2,656",60,53,23,10,10,5,5,42,17
Pilesgrove Twp.,974,"1,172",16,10,6,2,4,1,4,14,5
Pittsgrove Twp.,"2,061","1,868",34,40,18,9,11,5,7,21,16
Quinton Twp.,558,569,20,7,1,3,3,2,3,12,5
Salem City,"1,563",258,14,11,14,4,5,4,3,13,11
Upper Pittsgrove Twp.,591,"1,002",15,9,2,0,5,3,1,8,7
Woodstown Boro,866,750,22,9,5,5,1,3,2,6,6
COUNTY TOTAL,"15,044","12,555",259,201,108,55,70,45,35,179,98
