"precinct","registration","ballots cast","Turnout","CLINTON - KAINEDEM","TRUMP - PENCEREP","De La FUENTE - STEINBERGIND","CASTLE - BRADLEYIND","KENNEDY - HARTIND","La RIVA - PURYEARIND","STEIN - BARAKAGRE","MOOREHEAD - LILLYIND","JOHNSON - WELDLIB","Write-in "
Belleville 1-1 - Election Day,972,545,56.07,375,155,0,1,1,0,4,0,4,2
Belleville 1-2 - Election Day,1054,604,57.31,414,176,1,0,0,0,4,0,2,4
Belleville 1-3 - Election Day,842,467,55.46,282,163,0,0,0,0,6,2,2,4
Belleville 1-4 - Election Day,888,522,58.78,313,181,0,2,1,0,5,0,6,4
Belleville 1-5 - Election Day,912,528,57.89,368,136,3,2,1,0,10,0,5,2
Belleville 1-6 - Election Day,643,387,60.19,216,151,0,1,0,0,8,0,3,2
Belleville 2-1 - Election Day,679,397,58.47,230,156,1,0,1,0,2,1,4,1
Belleville 2-2 - Election Day,557,311,55.83,138,157,2,0,0,1,2,0,3,4
Belleville 2-3 - Election Day,841,529,62.90,249,243,1,1,0,0,8,0,15,3
Belleville 2-4 - Election Day,907,541,59.65,273,251,0,0,0,1,3,1,7,3
Belleville 2-5 - Election Day,867,481,55.48,248,215,0,0,0,0,7,0,1,2
Belleville 2-6 - Election Day,794,499,62.85,236,248,0,1,0,0,2,1,3,2
Belleville 2-7 - Election Day,759,449,59.16,238,197,3,0,0,0,2,0,5,0
Belleville 2-8 - Election Day,1119,651,58.18,364,265,2,0,0,1,5,0,8,2
Belleville 3-1 - Election Day,831,456,54.87,316,120,1,0,1,0,7,0,5,2
Belleville 3-2 - Election Day,881,492,55.85,330,132,1,0,2,0,11,0,7,2
Belleville 3-3 - Election Day,1081,563,52.08,404,125,2,0,1,1,10,0,8,3
Belleville 3-4 - Election Day,870,490,56.32,327,145,2,1,0,0,7,0,3,1
Belleville 3-5 - Election Day,671,384,57.23,226,145,0,0,1,1,4,0,3,3
Belleville 3-6 - Election Day,998,553,55.41,373,160,0,1,0,0,8,0,4,5
Belleville 4-1 - Election Day,722,393,54.43,256,120,0,1,0,0,5,0,4,3
Belleville 4-2 - Election Day,891,513,57.58,341,151,1,0,0,0,10,0,1,3
Belleville 4-3 - Election Day,909,514,56.55,327,160,2,1,0,0,6,1,8,3
Belleville 4-4 - Election Day,1144,648,56.64,359,262,0,0,0,0,4,0,9,7
Belleville 4-5 - Election Day,653,398,60.95,224,157,1,0,1,0,4,0,7,1
Belleville 4-6 - Election Day,1147,643,56.06,341,278,1,1,0,0,6,0,7,4
Bloomfield 1-2 - Election Day,1363,864,63.39,565,261,0,1,0,2,8,0,9,10
Bloomfield 1-3 - Election Day,1202,639,53.16,515,88,1,0,0,0,19,0,8,4
Bloomfield 1-4 - Election Day,842,479,56.89,326,132,0,1,1,0,6,0,7,2
Bloomfield 1-5 - Election Day,1039,605,58.23,471,116,0,1,0,0,4,1,5,3
Bloomfield 1-6 - Election Day,997,554,55.57,367,167,0,0,0,1,7,0,6,2
