




District                      Registered Voters             Ballots Cast                  Voter Turnout                 
Barnegat District 01          1401                          811                           57.89%
Barnegat District 02          2138                          1222                          57.16%
Barnegat District 03          1187                          725                           61.08%
Barnegat District 04          1162                          634                           54.56%
Barnegat District 05          746                           453                           60.72%
Barnegat District 06          1331                          722                           54.24%
Barnegat District 07          1172                          749                           63.91%
Barnegat District 08          971                           680                           70.03%
Barnegat District 09          829                           644                           77.68%
Barnegat District 10          414                           288                           69.57%
Barnegat District 11          2089                          1188                          56.87%
Barnegat District 12          994                           720                           72.43%
Barnegat District 13          965                           632                           65.49%
Barnegat District 14          607                           418                           68.86%
Barnegat District 15          633                           484                           76.46%
Barnegat Mail-In Ballot       0                             1320                          0.00%
Barnegat Provisional          0                             75                            0.00%
Barnegat Light District 01    648                           378                           58.33%
Barnegat Light Mail-In Ballot 0                             107                           0.00%
Barnegat Light Provisional    0                             1                             0.00%
Bay Head District 01          867                           533                           61.48%
Bay Head Mail-In Ballot       0                             106                           0.00%
Bay Head Provisional          0                             2                             0.00%
Beach Haven District 01       1029                          536                           52.09%
Beach Haven Mail-In Ballot    0                             163                           0.00%
Beach Haven Provisional       0                             11                            0.00%
Beachwood District 01         957                           586                           61.23%
Beachwood District 02         1342                          832                           62.00%
Beachwood District 03         1137                          717                           63.06%
Beachwood District 04         1135                          720                           63.44%
Beachwood District 05         991                           664                           67.00%
Beachwood District 06         828                           526                           63.53%
Beachwood District 07         741                           440                           59.38%
Beachwood Mail-In Ballot      0                             445                           0.00%
Beachwood Provisional         0                             34                            0.00%
Berkeley District 01          422                           236                           55.92%
Berkeley District 02          980                           604                           61.63%
Berkeley District 03          557                           338                           60.68%
Berkeley District 04          1332                          832                           62.46%
Berkeley District 05          1484                          936                           63.07%
Berkeley District 06          1355                          827                           61.03%
Berkeley District 07          1051                          655                           62.32%
Berkeley District 08          730                           477                           65.34%
Berkeley District 09          719                           443                           61.61%
Berkeley District 10          747                           472                           63.19%
Berkeley District 11          932                           509                           54.61%
Berkeley District 12          604                           360                           59.60%
Berkeley District 13          690                           417                           60.43%
Berkeley District 14          889                           556                           62.54%
Berkeley District 15          535                           332                           62.06%
Berkeley District 16          927                           581                           62.68%
Berkeley District 17          617                           410                           66.45%
Berkeley District 18          662                           434                           65.56%
Berkeley District 19          561                           365                           65.06%
Berkeley District 20          518                           361                           69.69%
Berkeley District 21          467                           279                           59.74%
Berkeley District 22          556                           358                           64.39%
Berkeley District 23          563                           353                           62.70%
Berkeley District 24          803                           505                           62.89%
Berkeley District 25          872                           568                           65.14%
Berkeley District 26          1070                          739                           69.07%
Berkeley District 27          937                           596                           63.61%
Berkeley District 28          571                           382                           66.90%
Berkeley District 29          926                           606                           65.44%
Berkeley District 30          1163                          747                           64.23%
Berkeley District 31          989                           686                           69.36%
Berkeley District 32          991                           666                           67.20%
Berkeley District 33          462                           331                           71.65%
Berkeley District 34          857                           527                           61.49%
Berkeley District 35          1241                          822                           66.24%
Berkeley District 36          1132                          762                           67.31%
Berkeley District 37          923                           541                           58.61%
Berkeley District 38          501                           337                           67.27%
Berkeley District 39          742                           460                           61.99%
Berkeley District 40          557                           364                           65.35%
Berkeley Mail-In Ballot       0                             2570                          0.00%
Berkeley W-1 Mail-In Ballot   0                             0                             0.00%
Berkeley W-2 Mail-In Ballot   0                             0                             0.00%
Berkeley W-3 Mail-In Ballot   0                             0                             0.00%
Berkeley W-4 Mail-In Ballot   0                             0                             0.00%
Berkeley Provisional          0                             156                           0.00%
Berkeley W-1 Provisional      0                             0                             0.00%
Berkeley W-2 Provisional      0                             0                             0.00%
Berkeley W-3 Provisional      0                             0                             0.00%
Berkeley W-4 Provisional      0                             0                             0.00%
Brick District 01             945                           609                           64.44%
Brick District 02             738                           549                           74.39%
Brick District 03             997                           661                           66.30%
Brick District 04             1070                          732                           68.41%
Brick District 05             1215                          779                           64.12%
Brick District 06             1259                          735                           58.38%
Brick District 07             1219                          809                           66.37%
Brick District 08             1091                          741                           67.92%
Brick District 09             842                           541                           64.25%
Brick District 10             1193                          742                           62.20%
Brick District 11             909                           612                           67.33%
Brick District 12             1035                          718                           69.37%
Brick District 13             1159                          765                           66.01%
Brick District 14             1376                          920                           66.86%
Brick District 15             1065                          741                           69.58%
Brick District 16             859                           578                           67.29%
Brick District 17             776                           526                           67.78%
Brick District 18             988                           701                           70.95%
Brick District 19             845                           570                           67.46%
Brick District 20             815                           515                           63.19%
Brick District 21             910                           616                           67.69%
Brick District 22             1081                          703                           65.03%
Brick District 23             731                           515                           70.45%
Brick District 24             1052                          617                           58.65%
Brick District 25             770                           517                           67.14%
Brick District 26             669                           339                           50.67%
Brick District 27             870                           569                           65.40%
Brick District 28             586                           425                           72.53%
Brick District 29             1113                          710                           63.79%
Brick District 30             903                           620                           68.66%
Brick District 31             986                           644                           65.31%
Brick District 32             845                           502                           59.41%
Brick District 33             644                           457                           70.96%
Brick District 34             1139                          683                           59.96%
Brick District 35             477                           327                           68.55%
Brick District 36             653                           453                           69.37%
Brick District 37             1171                          779                           66.52%
Brick District 38             1061                          734                           69.18%
Brick District 39             1334                          864                           64.77%
Brick District 40             863                           618                           71.61%
Brick District 41             1024                          720                           70.31%
Brick District 42             1012                          685                           67.69%
Brick District 43             869                           604                           69.51%
Brick District 44             675                           454                           67.26%
Brick District 45             1259                          807                           64.10%
Brick District 46             919                           638                           69.42%
Brick District 47             1128                          726                           64.36%
Brick District 48             572                           411                           71.85%
Brick District 49             498                           313                           62.85%
Brick District 50             793                           458                           57.76%
Brick District 51             618                           428                           69.26%
Brick District 52             685                           464                           67.74%
Brick District 53             745                           501                           67.25%
Brick District 54             1383                          826                           59.73%
Brick District 55             545                           361                           66.24%
Brick District 56             637                           410                           64.36%
Brick District 57             761                           494                           64.91%
Brick Mail-In Ballot          0                             3160                          0.00%
Brick Provisional             0                             271                           0.00%
Eagleswood District 01        1200                          783                           65.25%
Eagleswood Mail-In Ballot     0                             70                            0.00%
Eagleswood Provisional        0                             8                             0.00%
Harvey Cedars District 01     415                           196                           47.23%
Harvey Cedars Mail-In Ballot  0                             103                           0.00%
Harvey Cedars Provisional     0                             3                             0.00%
Island Heights District 01    778                           511                           65.68%
Island Heights District 02    563                           388                           68.92%
Island Heights Mail-In Ballot 0                             119                           0.00%
Island Heights Provisional    0                             8                             0.00%
Jackson District 01           1539                          969                           62.96%
Jackson District 02           1782                          1102                          61.84%
Jackson District 03           1113                          698                           62.71%
Jackson District 04           1421                          781                           54.96%
Jackson District 05           790                           560                           70.89%
Jackson District 06           1328                          845                           63.63%
Jackson District 07           1063                          641                           60.30%
Jackson District 08           1850                          969                           52.38%
Jackson District 09           1355                          878                           64.80%
Jackson District 10           1549                          967                           62.43%
Jackson District 11           923                           568                           61.54%
Jackson District 12           886                           548                           61.85%
Jackson District 13           900                           578                           64.22%
Jackson District 14           819                           521                           63.61%
Jackson District 15           1086                          642                           59.12%
Jackson District 16           1333                          836                           62.72%
Jackson District 17           1309                          852                           65.09%
Jackson District 18           1379                          881                           63.89%
Jackson District 19           1121                          682                           60.84%
Jackson District 20           1695                          1107                          65.31%
Jackson District 21           1590                          1010                          63.52%
Jackson District 22           1003                          742                           73.98%
Jackson District 23           1081                          681                           63.00%
Jackson District 24           1116                          729                           65.32%
Jackson District 25           1496                          955                           63.84%
Jackson District 26           1203                          862                           71.65%
Jackson District 27           591                           398                           67.34%
Jackson District 28           712                           551                           77.39%
Jackson District 29           803                           621                           77.33%
Jackson District 30           894                           564                           63.09%
Jackson District 31           619                           431                           69.63%
Jackson District 32           687                           431                           62.74%
Jackson District 33           568                           420                           73.94%
Jackson District 34           731                           559                           76.47%
Jackson Mail-In Ballot        0                             2648                          0.00%
Jackson Provisional           0                             205                           0.00%
Lacey District 01             1425                          930                           65.26%
Lacey District 02             1444                          891                           61.70%
Lacey District 03             855                           541                           63.27%
Lacey District 04             1088                          681                           62.59%
Lacey District 05             1071                          690                           64.43%
Lacey District 06             1053                          684                           64.96%
Lacey District 07             1537                          991                           64.48%
Lacey District 08             941                           584                           62.06%
Lacey District 09             1234                          818                           66.29%
Lacey District 10             1658                          1065                          64.23%
Lacey District 11             727                           494                           67.95%
Lacey District 12             1182                          788                           66.67%
Lacey District 13             888                           578                           65.09%
Lacey District 14             1138                          748                           65.73%
Lacey District 15             743                           432                           58.14%
Lacey District 16             1505                          981                           65.18%
Lacey District 17             685                           426                           62.19%
Lacey District 18             772                           490                           63.47%
Lacey Mail-In Ballot          0                             1380                          0.00%
Lacey Provisional             0                             110                           0.00%
Lakehurst District 01         1555                          905                           58.20%
