




District                      Registered Voters             Ballots Cast                  Voter Turnout                 
Lakehurst Mail-In Ballot      0                             55                            0.00%
Lakehurst Provisional         0                             0                             0.00%
Lakewood District 01          1236                          497                           40.21%
Lakewood District 02          993                           451                           45.42%
Lakewood District 03          703                           451                           64.15%
Lakewood District 04          1003                          457                           45.56%
Lakewood District 05          1045                          600                           57.42%
Lakewood District 06          1905                          898                           47.14%
Lakewood District 07          1401                          768                           54.82%
Lakewood District 08          1122                          576                           51.34%
Lakewood District 09          1710                          954                           55.79%
Lakewood District 10          1533                          732                           47.75%
Lakewood District 11          1249                          582                           46.60%
Lakewood District 12          1628                          833                           51.17%
Lakewood District 13          1349                          786                           58.27%
Lakewood District 14          755                           430                           56.95%
Lakewood District 15          2254                          1089                          48.31%
Lakewood District 16          1613                          826                           51.21%
Lakewood District 17          943                           487                           51.64%
Lakewood District 18          493                           312                           63.29%
Lakewood District 19          492                           303                           61.59%
Lakewood District 20          430                           273                           63.49%
Lakewood District 21          611                           273                           44.68%
Lakewood District 22          813                           379                           46.62%
Lakewood District 23          576                           379                           65.80%
Lakewood District 24          744                           479                           64.38%
Lakewood District 25          1095                          637                           58.17%
Lakewood District 26          1086                          611                           56.26%
Lakewood District 27          3257                          528                           16.21%
Lakewood District 28          530                           381                           71.89%
Lakewood District 29          1051                          602                           57.28%
Lakewood District 30          606                           434                           71.62%
Lakewood District 31          855                           619                           72.40%
Lakewood District 32          764                           558                           73.04%
Lakewood District 33          962                           715                           74.32%
Lakewood District 34          478                           353                           73.85%
Lakewood District 35          939                           445                           47.39%
Lakewood District 36          762                           321                           42.13%
Lakewood District 37          1350                          652                           48.30%
Lakewood District 38          615                           446                           72.52%
Lakewood District 39          999                           508                           50.85%
Lakewood District 40          1310                          607                           46.34%
Lakewood District 41          999                           550                           55.06%
Lakewood District 42          617                           335                           54.29%
Lakewood District 43          849                           470                           55.36%
Lakewood Mail-In Ballot       0                             1903                          0.00%
Lakewood Provisional          0                             241                           0.00%
Lavallette District 01        959                           607                           63.30%
Lavallette District 02        693                           400                           57.72%
Lavallette Mail-In Ballot     0                             246                           0.00%
Lavallette Provisional        0                             4                             0.00%
Little Egg Harbor District 01 748                           476                           63.64%
Little Egg Harbor District 02 1150                          761                           66.17%
Little Egg Harbor District 03 785                           476                           60.64%
Little Egg Harbor District 04 1585                          895                           56.47%
Little Egg Harbor District 05 928                           629                           67.78%
Little Egg Harbor District 06 972                           612                           62.96%
Little Egg Harbor District 07 669                           445                           66.52%
Little Egg Harbor District 08 637                           418                           65.62%
Little Egg Harbor District 09 1052                          617                           58.65%
Little Egg Harbor District 10 1069                          548                           51.26%
Little Egg Harbor District 11 1337                          894                           66.87%
Little Egg Harbor District 12 648                           451                           69.60%
Little Egg Harbor District 13 979                           697                           71.20%
Little Egg Harbor District 14 775                           479                           61.81%
Little Egg Harbor District 15 490                           368                           75.10%
Little Egg Harbor District 16 809                           544                           67.24%
Little Egg Harbor Mail-In Ballot0                             1047                          0.00%
Little Egg Harbor Provisional 0                             60                            0.00%
Long Beach District 01        1211                          676                           55.82%
Long Beach District 02        1180                          643                           54.49%
Long Beach District 03        723                           354                           48.96%
Long Beach Mail-In Ballot     0                             564                           0.00%
Long Beach Provisional        0                             20                            0.00%
Manchester District 01        1042                          683                           65.55%
Manchester District 02        1957                          1241                          63.41%
Manchester District 03        1248                          822                           65.87%
Manchester District 04        508                           302                           59.45%
Manchester District 05        769                           510                           66.32%
Manchester District 06        1059                          679                           64.12%
Manchester District 07        1132                          753                           66.52%
Manchester District 08        796                           435                           54.65%
Manchester District 09        635                           422                           66.46%
Manchester District 10        969                           537                           55.42%
Manchester District 11        594                           385                           64.81%
Manchester District 12        587                           396                           67.46%
Manchester District 13        689                           421                           61.10%
Manchester District 14        880                           571                           64.89%
Manchester District 15        667                           438                           65.67%
Manchester District 16        1392                          845                           60.70%
Manchester District 17        593                           398                           67.12%
Manchester District 18        553                           387                           69.98%
Manchester District 19        754                           478                           63.40%
Manchester District 20        737                           504                           68.39%
Manchester District 21        585                           399                           68.21%
Manchester District 22        637                           415                           65.15%
Manchester District 23        691                           460                           66.57%
Manchester District 24        1730                          1153                          66.65%
Manchester District 25        627                           413                           65.87%
Manchester District 26        708                           504                           71.19%
Manchester District 27        781                           535                           68.50%
Manchester District 28        655                           439                           67.02%
Manchester District 29        882                           608                           68.93%
Manchester District 30        669                           461                           68.91%
Manchester District 31        960                           725                           75.52%
Manchester District 32        1120                          694                           61.96%
Manchester District 33        965                           586                           60.73%
Manchester District 34        823                           520                           63.18%
Manchester District 35        432                           293                           67.82%
Manchester District 36        766                           584                           76.24%
Manchester District 37        691                           554                           80.17%
Manchester District 38        619                           467                           75.44%
Manchester District 39        1450                          890                           61.38%
Manchester District 40        984                           638                           64.84%
Manchester Mail-In Ballot     0                             2480                          0.00%
Manchester Provisional        0                             174                           0.00%
Mantoloking District 01       321                           169                           52.65%
Mantoloking Mail-In Ballot    0                             67                            0.00%
Mantoloking Provisional       0                             0                             0.00%
Ocean District 01             1901                          1134                          59.65%
Ocean District 02             645                           437                           67.75%
Ocean District 03             1196                          725                           60.62%
Ocean District 04             975                           609                           62.46%
Ocean District 05             983                           720                           73.25%
Ocean District 06             1389                          1054                          75.88%
Ocean Mail-In Ballot          0                             599                           0.00%
Ocean Provisional             0                             27                            0.00%
Ocean Gate District 01        1329                          807                           60.72%
Ocean Gate Mail-In Ballot     0                             150                           0.00%
Ocean Gate Provisional        0                             6                             0.00%
Pine Beach District 01        826                           512                           61.99%
Pine Beach District 02        869                           558                           64.21%
Pine Beach Mail-In Ballot     0                             199                           0.00%
Pine Beach Provisional        0                             5                             0.00%
Plumsted District 01          718                           471                           65.60%
Plumsted District 02          1457                          984                           67.54%
Plumsted District 03          829                           560                           67.55%
Plumsted District 04          968                           681                           70.35%
Plumsted District 05          952                           657                           69.01%
Plumsted District 06          644                           455                           70.65%
Plumsted Mail-In Ballot       0                             236                           0.00%
Plumsted Provisional          0                             28                            0.00%
Point Pleasant Beach District 01582                           355                           61.00%
Point Pleasant Beach District 02846                           552                           65.25%
Point Pleasant Beach District 031128                          631                           55.94%
Point Pleasant Beach District 041113                          661                           59.39%
Point Pleasant Beach Mail-In Ballot0                             391                           0.00%
Point Pleasant Beach Provisional0                             18                            0.00%
Point Pleasant District 01    868                           599                           69.01%
Point Pleasant District 02    876                           594                           67.81%
Point Pleasant District 03    1062                          716                           67.42%
Point Pleasant District 04    788                           534                           67.77%
Point Pleasant District 05    1067                          750                           70.29%
Point Pleasant District 06    715                           499                           69.79%
Point Pleasant District 07    782                           533                           68.16%
Point Pleasant District 08    746                           538                           72.12%
Point Pleasant District 09    834                           560                           67.15%
Point Pleasant District 10    1079                          711                           65.89%
Point Pleasant District 11    1059                          706                           66.67%
Point Pleasant District 12    968                           669                           69.11%
Point Pleasant District 13    588                           413                           70.24%
Point Pleasant District 14    688                           449                           65.26%
Point Pleasant District 15    976                           642                           65.78%
Point Pleasant District 16    751                           509                           67.78%
Point Pleasant Mail-In Ballot 0                             0                             0.00%
Point Pleasant Provisional    0                             0                             0.00%
Point Pleasant Cong Dist 3 Mail-In Ballot0                             69                            0.00%
Point Pleasant Cong Dist 3 Provisional0                             13                            0.00%
Point Pleasant Cong Dist 4 Mail-In Ballot0                             860                           0.00%
Point Pleasant Cong Dist 4 Provisional0                             68                            0.00%
Seaside Heights District 01   1421                          592                           41.66%
Seaside Heights Mail-In Ballot0                             87                            0.00%
Seaside Heights Provisional   0                             17                            0.00%
Seaside Park District 01      570                           321                           56.32%
Seaside Park District 02      784                           408                           52.04%
Seaside Park Mail-In Ballot   0                             209                           0.00%
Seaside Park Provisional      0                             12                            0.00%
Ship Bottom District 01       1060                          565                           53.30%
Ship Bottom Mail-In Ballot    0                             182                           0.00%
Ship Bottom Provisional       0                             3                             0.00%
South Toms River District 01  621                           300                           48.31%
South Toms River District 02  979                           560                           57.20%
South Toms River District 03  613                           357                           58.24%
South Toms River Mail-In Ballot0                             76                            0.00%
South Toms River Provisional  0                             20                            0.00%
Stafford District 01          802                           438                           54.61%
Stafford District 02          623                           365                           58.59%
Stafford District 03          1238                          776                           62.68%
Stafford District 04          1146                          695                           60.65%
Stafford District 05          1108                          586                           52.89%
Stafford District 06          1105                          683                           61.81%
Stafford District 07          1105                          694                           62.81%
Stafford District 08          1208                          761                           63.00%
Stafford District 09          1122                          730                           65.06%
Stafford District 10          1253                          746                           59.54%
Stafford District 11          1068                          670                           62.73%
Stafford District 12          1037                          653                           62.97%
Stafford District 13          831                           556                           66.91%
Stafford District 14          373                           272                           72.92%
Stafford District 15          1052                          630                           59.89%
Stafford District 16          624                           419                           67.15%
Stafford District 17          668                           429                           64.22%
Stafford District 18          902                           509                           56.43%
Stafford District 19          1005                          604                           60.10%
Stafford District 20          1035                          608                           58.74%
Stafford District 21          699                           380                           54.36%
Stafford Mail-In Ballot       0                             0                             0.00%
Stafford Provisional          0                             0                             0.00%
Stafford Cong Dist 2 Mail-In Ballot0                             645                           0.00%
Stafford Cong Dist 2 Provisional0                             29                            0.00%
Stafford Cong Dist 3 Mail-In Ballot0                             1246                          0.00%
Stafford Cong Dist 3 Provisional0                             76                            0.00%
Surf City District 01         1121                          651                           58.07%
Surf City Mail-In Ballot      0                             159                           0.00%
Surf City Provisional         0                             1                             0.00%
Toms River District 01        657                           359                           54.64%
Toms River District 02        812                           487                           59.98%
Toms River District 03        769                           420                           54.62%
Toms River District 04        1659                          1013                          61.06%
Toms River District 05        573                           392                           68.41%
Toms River District 06        1373                          825                           60.09%
Toms River District 07        1522                          850                           55.85%
Toms River District 08        1241                          714                           57.53%
Toms River District 09        1217                          740                           60.81%
Toms River District 10        763                           387                           50.72%
Toms River District 11        1001                          642                           64.14%
Toms River District 12        970                           616                           63.51%
Toms River District 13        843                           533                           63.23%
Toms River District 14        1027                          602                           58.62%
Toms River District 15        836                           500                           59.81%
Toms River District 16        1331                          858                           64.46%
Toms River District 17        1208                          788                           65.23%
Toms River District 18        659                           421                           63.88%
Toms River District 19        879                           532                           60.52%
Toms River District 20        1253                          751                           59.94%
Toms River District 21        1155                          640                           55.41%
Toms River District 22        1168                          777                           66.52%
Toms River District 23        890                           536                           60.22%
Toms River District 24        1691                          930                           55.00%
Toms River District 25        808                           532                           65.84%
Toms River District 26        1016                          623                           61.32%
Toms River District 27        1205                          764                           63.40%
Toms River District 28        1028                          644                           62.65%
Toms River District 29        769                           484                           62.94%
Toms River District 30        1383                          743                           53.72%
Toms River District 31        891                           558                           62.63%
Toms River District 32        1284                          781                           60.83%
Toms River District 33        1320                          816                           61.82%
