,"Registration","Ballots Cast","Turnout","Mahir SalehREP","Nia H. GillDEM","Write-In"
Clifton Ward 1 District 1,981,309,31.50,103,161,1
Clifton Ward 1 District 2,2064,588,28.49,155,339,1
Clifton Ward 1 District 3,960,368,38.33,122,197,0
Clifton Ward 1 District 4,1427,380,26.63,96,218,0
Clifton Ward 1 District 5,1752,520,29.68,158,287,1
Clifton Ward 1 District 6,1120,317,28.30,135,141,1
Clifton Ward 1 District 7,1010,280,27.72,90,150,0
Clifton Ward 1 District 8,1025,262,25.56,107,123,1
Clifton Ward 1 District 9,1075,393,36.56,156,189,0
Clifton Ward 1 District 10,679,236,34.76,66,135,1
Clifton Ward 1 District 11,827,290,35.07,105,138,2
Clifton Ward 1 District 12,1079,344,31.88,148,149,0
Clifton Ward 1 District 13,1306,441,33.77,154,222,0
Clifton Ward 1 District 14,818,286,34.96,110,144,0
Clifton Ward 1 District 15,1294,428,33.08,129,239,1
Clifton Ward 1 District 16,686,211,30.76,71,109,0
Clifton Ward 1 District 17,867,206,23.76,39,133,1
Clifton Ward 1 District 18,1340,490,36.57,231,188,0
Clifton Ward 1 District 19,949,328,34.56,116,166,0
Clifton Ward 1 District 20,716,260,36.31,116,107,1
Clifton Ward 1 District 21,1088,350,32.17,135,182,0
Clifton Ward 1 District 22,829,234,28.23,94,109,0
Clifton Ward 1 District 23,1350,458,33.93,186,204,0
Clifton Ward 2 District 1,925,279,30.16,78,164,0
Clifton Ward 2 District 2,915,250,27.32,45,174,0
Clifton Ward 2 District 3,983,251,25.53,72,145,0
Clifton Ward 2 District 4,1207,315,26.10,70,198,0
Clifton Ward 2 District 5,1249,394,31.55,135,199,0
Clifton Ward 2 District 6,819,228,27.84,55,134,0
Clifton Ward 2 District 7,694,190,27.38,51,109,0
Clifton Ward 2 District 8,1255,364,29.00,114,184,0
Clifton Ward 2 District 9,783,275,35.12,87,146,0
Clifton Ward 2 District 10,648,155,23.92,26,108,0
Clifton Ward 3 District 1,933,244,26.15,45,163,0
Clifton Ward 3 District 2,521,153,29.37,39,88,0
Clifton Ward 3 District 3,495,140,28.28,47,76,0
Clifton Ward 3 District 4,658,183,27.81,36,127,0
Clifton Ward 3 District 5,916,211,23.03,41,131,0
Clifton Ward 3 District 6,770,162,21.04,37,96,1
Clifton Ward 3 District 7,862,193,22.39,30,132,0
Clifton Ward 3 District 8,1216,300,24.67,74,185,0
Clifton Ward 4 District 1,1055,219,20.76,42,147,1
Clifton Ward 4 District 2,1222,222,18.17,27,159,0
Clifton Ward 4 District 3,805,166,20.62,34,105,0
Clifton Ward 4 District 4,1103,206,18.68,43,129,0
Clifton Ward 4 District 5,655,134,20.46,33,84,0
Clifton Ward 5 District 1,711,185,26.02,18,136,0
Clifton Ward 5 District 2,1247,318,25.50,44,226,0
Clifton Ward 5 District 3,870,224,25.75,50,134,0
Clifton Ward 5 District 4,843,217,25.74,42,149,0
Clifton Ward 5 District 5,1073,315,29.36,86,177,1
Clifton Ward 5 District 6,1389,362,26.06,75,217,0
Clifton Mail-In Ballot,0,762,0.00,246,475,3
Clifton Over/Fed,0,0,0.00,0,0,0
Clifton Provisional,0,89,0.00,17,59,2
