,"Registration","Ballots Cast","Turnout","Jeanine FerreraREP","Paul A. SarloDEM","Write-In"
Passaic Ward 1 District 1,917,141,15.38,14,102,0
Passaic Ward 1 District 2,815,128,15.71,4,93,0
Passaic Ward 1 District 3,1213,182,15.00,19,121,0
Passaic Ward 1 District 4,1350,196,14.52,13,146,0
Passaic Ward 2 District 1,1068,204,19.10,18,146,0
Passaic Ward 2 District 2,926,209,22.57,38,157,0
Passaic Ward 2 District 3,1061,252,23.75,42,180,0
Passaic Ward 2 District 4,950,193,20.32,18,147,0
Passaic Ward 2 District 5,1209,179,14.81,11,128,0
Passaic Ward 2 District 6,954,166,17.40,14,137,0
Passaic Ward 2 District 7,915,159,17.38,6,126,0
Passaic Ward 2 District 8,922,179,19.41,10,142,0
Passaic Ward 2 District 9,932,185,19.85,11,141,0
Passaic Ward 3 District 1,879,187,21.27,28,131,0
Passaic Ward 3 District 2,1052,256,24.33,58,171,1
Passaic Ward 3 District 3,917,219,23.88,62,138,0
Passaic Ward 3 District 4,1475,351,23.80,89,221,1
Passaic Ward 3 District 5,1086,199,18.32,35,126,0
Passaic Ward 3 District 6,960,200,20.83,43,133,0
Passaic Ward 3 District 7,707,171,24.19,30,114,0
Passaic Ward 3 District 8,999,213,21.32,27,165,1
Passaic Ward 3 District 9,1140,327,28.68,93,207,0
Passaic Ward 3 District 10,641,132,20.59,29,88,0
Passaic Ward 4 District 1,936,170,18.16,17,129,0
Passaic Ward 4 District 2,835,149,17.84,5,114,0
Passaic Ward 4 District 3,888,130,14.64,10,97,0
Passaic Ward 4 District 4,1152,194,16.84,23,127,0
Passaic Ward 4 District 5,872,129,14.79,9,89,0
Passaic Ward 4 District 6,885,191,21.58,21,127,0
Passaic Ward 4 District 7,771,139,18.03,7,114,0
Passaic Mail-In Ballot,0,505,0.00,92,392,1
Passaic Over/Fed,0,1,0.00,0,1,0
Passaic Provisional,0,143,0.00,9,110,0
