,"Registration","Ballots Cast","Turnout","Kristin M. CorradoREP","Thomas DuchDEM","Write-In"
Little Falls 1,1031,385,37.34,201,145,0
Little Falls 2,1269,517,40.74,277,201,1
Little Falls 3,1325,506,38.19,252,223,0
Little Falls 4,878,297,33.83,143,124,0
Little Falls 5,871,303,34.79,168,108,0
Little Falls 6,885,410,46.33,213,161,0
Little Falls 7,965,434,44.97,192,214,0
Little Falls 8,680,267,39.26,116,123,0
Little Falls 9,1809,126,6.97,16,86,0
Little Falls Mail-In Ballot,0,177,0.00,89,86,0
Little Falls Over/Fed,0,0,0.00,0,0,0
Little Falls Provisional,0,29,0.00,14,9,0
Pompton Lakes 1,1394,487,34.94,289,165,0
Pompton Lakes 2,1524,467,30.64,219,199,0
Pompton Lakes 3,2113,798,37.77,421,303,1
Pompton Lakes 4,1293,526,40.68,254,225,0
Pompton Lakes 5,1440,520,36.11,279,192,0
Pompton Lakes Mail-In Ballot,0,158,0.00,72,78,0
Pompton Lakes Over/Fed,0,0,0.00,0,0,0
Pompton Lakes Provisional,0,15,0.00,7,8,0
Totowa 1,955,372,38.95,233,120,0
Totowa 2,1731,736,42.52,589,110,0
Totowa 3,1243,562,45.21,436,106,0
Totowa 4,1406,583,41.47,448,108,0
Totowa 5,1203,494,41.06,369,97,0
Totowa 6,1174,551,46.93,438,90,0
Totowa Mail-In Ballot,0,220,0.00,185,30,0
Totowa Over/Fed,0,0,0.00,0,0,0
Totowa Provisional,0,12,0.00,7,5,0
Wayne Ward 1 District 1,910,220,24.18,98,92,0
Wayne Ward 1 District 2,1182,396,33.50,189,179,0
Wayne Ward 1 District 3,630,188,29.84,90,82,0
Wayne Ward 1 District 4,967,327,33.82,180,116,0
Wayne Ward 1 District 5,872,339,38.88,193,118,0
Wayne Ward 1 District 6,762,260,34.12,147,86,0
Wayne Ward 2 District 1,938,383,40.83,228,120,0
Wayne Ward 2 District 2,763,351,46.00,176,149,0
Wayne Ward 2 District 3,1075,377,35.07,187,156,0
Wayne Ward 2 District 4,1040,362,34.81,225,98,0
Wayne Ward 2 District 5,927,368,39.70,233,108,0
Wayne Ward 2 District 6,1054,354,33.59,177,145,1
Wayne Ward 2 District 7,1252,362,28.91,156,172,0
Wayne Ward 3 District 1,680,276,40.59,148,108,0
Wayne Ward 3 District 2,706,268,37.96,153,97,0
Wayne Ward 3 District 3,784,365,46.56,168,169,0
Wayne Ward 3 District 4,809,333,41.16,188,114,0
Wayne Ward 3 District 5,985,386,39.19,213,144,0
Wayne Ward 3 District 6,925,342,36.97,194,108,0
Wayne Ward 3 District 7,881,340,38.59,208,106,0
Wayne Ward 3 District 8,853,338,39.62,193,116,0
Wayne Ward 3 District 9,869,313,36.02,164,115,0
Wayne Ward 4 District 1,760,308,40.53,169,108,0
Wayne Ward 4 District 2,839,352,41.95,205,120,0
Wayne Ward 4 District 3,788,265,33.63,148,99,0
Wayne Ward 4 District 4,1225,397,32.41,231,129,1
Wayne Ward 4 District 5,1117,392,35.09,219,131,0
Wayne Ward 4 District 6,1485,531,35.76,242,226,1
Wayne Ward 4 District 7,940,354,37.66,207,119,0
Wayne Ward 5 District 1,882,254,28.80,95,136,0
Wayne Ward 5 District 2,1030,314,30.49,175,118,0
Wayne Ward 5 District 3,1363,502,36.83,246,213,0
Wayne Ward 5 District 4,924,275,29.76,133,122,0
Wayne Ward 5 District 5,794,254,31.99,130,110,0
Wayne Ward 6 District 1,627,176,28.07,79,82,0
Wayne Ward 6 District 2,1138,381,33.48,200,149,0
Wayne Ward 6 District 3,1213,435,35.86,225,180,0
Wayne Ward 6 District 4,1046,395,37.76,181,178,0
Wayne Ward 6 District 5,753,288,38.25,164,111,0
Wayne Ward 6 District 6,1007,413,41.01,217,172,0
Wayne Ward 6 District 7,984,342,34.76,197,119,0
Wayne Mail-In Ballot,0,999,0.00,503,472,1
Wayne Over/Fed,0,0,0.00,0,0,0
Wayne Provisional,0,55,0.00,23,30,0
Woodland Park 1,890,265,29.78,97,117,0
Woodland Park 2,1259,514,40.83,257,200,0
Woodland Park 3,1558,460,29.53,188,201,1
Woodland Park 4,1635,544,33.27,265,210,0
Woodland Park 5,1574,508,32.27,243,213,0
Woodland Park 6,1156,295,25.52,73,192,0
Woodland Park 7,1057,573,54.21,227,292,0
Woodland Park Mail-In Ballot,0,428,0.00,229,187,0
Woodland Park Over\Fed,0,0,0.00,0,0,0
Woodland Park Provisional,0,25,0.00,7,14,0
