,"Registration","Ballots Cast","Turnout","Guadagno/RendoREP","Murphy/OliverDEM","Rohrman/LaguerreIND","Mathew RichardiIND","Gina GenoveseIND","Kaper-Dale/DurdenIND","Ross/JohnsonIND","Write-In"
Bloomingdale 1,1492,542,36.33,251,260,8,2,4,1,0,1
Bloomingdale 2,1315,521,39.62,232,267,4,0,5,6,1,0
Bloomingdale 3,992,417,42.04,220,178,7,1,2,1,0,0
Bloomingdale 4,1232,432,35.06,240,173,3,2,5,0,2,0
Bloomingdale 5,420,215,51.19,105,102,1,0,1,1,0,0
Bloomingdale Mail-In Ballot,0,119,0.00,68,46,1,2,1,0,0,0
Bloomingdale Over/Fed,0,0,0.00,0,0,0,0,0,0,0,0
Bloomingdale Provisional,0,11,0.00,4,6,0,0,0,0,0,0
Clifton Ward 1 District 1,981,309,31.50,121,174,3,2,3,0,0,0
Clifton Ward 1 District 2,2064,588,28.49,200,367,4,3,2,6,0,0
Clifton Ward 1 District 3,960,368,38.33,156,199,1,3,0,3,1,0
Clifton Ward 1 District 4,1427,380,26.63,137,230,0,1,1,2,0,2
Clifton Ward 1 District 5,1752,520,29.68,201,305,3,3,1,0,0,0
Clifton Ward 1 District 6,1120,317,28.30,161,147,1,0,3,0,0,0
Clifton Ward 1 District 7,1010,280,27.72,111,164,0,1,1,1,0,0
Clifton Ward 1 District 8,1025,262,25.56,126,126,1,0,0,1,2,1
Clifton Ward 1 District 9,1075,393,36.56,174,202,4,4,6,1,0,0
Clifton Ward 1 District 10,679,236,34.76,90,129,4,0,2,3,1,1
Clifton Ward 1 District 11,827,290,35.07,134,142,3,0,4,1,1,0
Clifton Ward 1 District 12,1079,344,31.88,180,150,4,3,2,0,0,0
Clifton Ward 1 District 13,1306,441,33.77,185,243,0,1,3,1,1,2
Clifton Ward 1 District 14,818,286,34.96,123,158,1,0,1,1,0,1
Clifton Ward 1 District 15,1294,428,33.08,166,243,5,3,1,1,1,1
Clifton Ward 1 District 16,686,211,30.76,90,116,0,0,2,0,0,0
Clifton Ward 1 District 17,867,206,23.76,64,134,0,1,1,4,1,0
Clifton Ward 1 District 18,1340,490,36.57,259,214,2,2,4,3,0,1
Clifton Ward 1 District 19,949,328,34.56,129,187,2,1,1,0,0,0
Clifton Ward 1 District 20,716,260,36.31,140,105,3,2,3,0,0,0
Clifton Ward 1 District 21,1088,350,32.17,154,191,2,0,1,0,0,0
Clifton Ward 1 District 22,829,234,28.23,110,115,3,1,0,3,0,0
Clifton Ward 1 District 23,1350,458,33.93,240,200,3,0,8,0,0,1
Clifton Ward 2 District 1,925,279,30.16,91,179,2,0,0,1,1,0
Clifton Ward 2 District 2,915,250,27.32,58,184,1,1,2,0,0,0
Clifton Ward 2 District 3,983,251,25.53,85,155,1,1,1,3,0,1
Clifton Ward 2 District 4,1207,315,26.10,78,226,3,1,1,2,0,0
Clifton Ward 2 District 5,1249,394,31.55,174,209,1,3,2,2,0,0
Clifton Ward 2 District 6,819,228,27.84,74,147,0,0,2,3,0,0
Clifton Ward 2 District 7,694,190,27.38,60,121,2,0,2,1,1,2
Clifton Ward 2 District 8,1255,364,29.00,147,204,4,0,1,2,0,0
Clifton Ward 2 District 9,783,275,35.12,112,155,2,0,2,1,1,0
Clifton Ward 2 District 10,648,155,23.92,37,115,0,1,0,0,1,0
Clifton Ward 3 District 1,933,244,26.15,59,179,1,1,1,0,0,0
Clifton Ward 3 District 2,521,153,29.37,34,112,0,1,1,1,0,0
Clifton Ward 3 District 3,495,140,28.28,52,86,1,0,0,0,0,0
Clifton Ward 3 District 4,658,183,27.81,40,141,0,0,0,2,0,0
Clifton Ward 3 District 5,916,211,23.03,52,153,1,1,1,0,0,0
Clifton Ward 3 District 6,770,162,21.04,37,113,2,0,0,1,0,0
Clifton Ward 3 District 7,862,193,22.39,37,150,3,0,0,1,0,0
Clifton Ward 3 District 8,1216,300,24.67,78,211,1,2,1,3,0,0
Clifton Ward 4 District 1,1055,219,20.76,42,171,0,1,0,0,0,0
Clifton Ward 4 District 2,1222,222,18.17,38,182,0,0,0,0,0,0
Clifton Ward 4 District 3,805,166,20.62,34,127,2,0,0,0,0,0
Clifton Ward 4 District 4,1103,206,18.68,44,150,1,0,3,1,0,0
Clifton Ward 4 District 5,655,134,20.46,39,90,0,0,0,1,0,0
Clifton Ward 5 District 1,711,185,26.02,18,162,1,0,0,2,0,0
Clifton Ward 5 District 2,1247,318,25.50,53,255,4,0,1,1,0,0
Clifton Ward 5 District 3,870,224,25.75,52,160,3,1,3,0,0,1
Clifton Ward 5 District 4,843,217,25.74,46,165,0,0,1,0,0,0
Clifton Ward 5 District 5,1073,315,29.36,101,200,3,1,0,5,0,1
Clifton Ward 5 District 6,1389,362,26.06,114,227,1,4,6,3,1,0
Clifton Mail-In Ballot,0,762,0.00,304,427,4,0,6,2,2,1
Clifton Over/Fed,0,0,0.00,0,0,0,0,0,0,0,0
Clifton Provisional,0,89,0.00,14,68,0,1,0,0,1,1
Haledon 1,794,215,27.08,37,172,1,0,0,0,1,0
Haledon 2,754,221,29.31,56,158,0,1,0,0,0,0
Haledon 3,769,212,27.57,87,112,1,0,2,2,0,0
Haledon 4,772,210,27.20,31,167,0,0,1,3,2,0
Haledon 5,754,231,30.64,56,161,1,2,0,2,0,0
Haledon 6,1202,384,31.95,89,277,1,1,1,0,0,1
Haledon Mail-In Ballot,0,101,0.00,43,50,0,1,2,1,0,1
