"","Marie CorfieldDemocratic","Donna M. SimonRepublican"
HUNTERDON COUNTY,,
Delaware Twp,"1,007","1,591"
Flemington Boro,637,715
Raritan Twp.,"4,108","6,803"
Readington Twp.,"2,414","5,575"
Stockton Boro,142,137
County Totals,"8,308","14,821"
MERCER COUNTY,,
Princeton,"8,236","2,941"
County Totals,"8,236","2,941"
MIDDLESEX COUNTY,,
South Brunswick Twp.,"9,970","6,040"
County Totals,"9,970","6,040"
SOMERSET COUNTY,,
Branchburg Twp.,"2,421","4,431"
Hillsborough Twp.,"7,543","9,224"
Manville Boro,"1,377","1,643"
Millstone Boro,99,120
Montgomery Twp.,"4,683","5,134"
Rocky Hill Boro,211,148
Somerville Boro,"2,387","1,709"
County Totals,"18,721","22,409"
District 16 Totals,"45,235","46,211"
"",,
