District,Hillary CLINTON,Bernie SANDERS
"Old Bridge, Ward 5, District 5",40,36
"Old Bridge, Ward 5, District 6",45,50
"Old Bridge, Ward 5, District 7",74,46
"Old Bridge, Ward 5, District 8",66,43
"Old Bridge, Ward 5, District 9",54,22
"Old Bridge, Ward 6, District 1",35,64
"Old Bridge, Ward 6, District 2",44,39
"Old Bridge, Ward 6, District 3",21,15
"Old Bridge, Ward 6, District 4",33,36
"Old Bridge, Ward 6, District 5",47,64
"Old Bridge, Ward 6, District 6",56,52
"Old Bridge, Ward 6, District 7",55,65
"Old Bridge, Ward 6, District 8",70,52
"Perth Amboy, Ward 1, District 1",83,44
"Perth Amboy, Ward 1, District 2",98,38
"Perth Amboy, Ward 1, District 3",115,43
"Perth Amboy, Ward 1, District 4",87,39
"Perth Amboy, Ward 1, District 5",82,29
"Perth Amboy, Ward 2, District 1",144,67
"Perth Amboy, Ward 2, District 2",104,57
"Perth Amboy, Ward 3, District 1",56,28
"Perth Amboy, Ward 3, District 2",98,20
"Perth Amboy, Ward 4, District 1",52,17
"Perth Amboy, Ward 4, District 2",101,33
"Perth Amboy, Ward 4, District 3",89,33
"Perth Amboy, Ward 4, District 4",69,20
"Perth Amboy, Ward 4, District 5",110,44
"Perth Amboy, Ward 4, District 6",93,20
"Perth Amboy, Ward 5, District 1",66,17
"Perth Amboy, Ward 5, District 2",97,37
"Perth Amboy, Ward 5, District 3",153,53
"Perth Amboy, Ward 6, District 1",50,12
"Perth Amboy, Ward 6, District 2",66,31
"Perth Amboy, Ward 6, District 3",145,45
"Perth Amboy, Ward 6, District 4",94,42
"Perth Amboy, Ward 6, District 5",92,53
"Perth Amboy, Ward 6, District 6",56,28
"Perth Amboy, Ward 6, District 7",72,28
"Perth Amboy, Ward 6, District 8",66,32
"Perth Amboy, Ward 6, District 9",113,62
"Perth Amboy, Ward 6, District 10",75,39
"Perth Amboy, Ward 6, District 11",93,40
"Perth Amboy, Ward 6, District 12",104,61
"Perth Amboy, Ward 6, District 13",103,31
"Perth Amboy, Ward 6, District 14",121,52
"Piscataway, Ward 1, District 1",286,91
"Piscataway, Ward 1, District 2",172,70
"Piscataway, Ward 1, District 3",225,86
"Piscataway, Ward 1, District 4",179,76
"Piscataway, Ward 1, District 5",172,105
"Piscataway, Ward 1, District 6",131,83
"Piscataway, Ward 1, District 7",246,94
"Piscataway, Ward 1, District 8",169,76
"Piscataway, Ward 1, District 9",155,66
"Piscataway, Ward 2, District 1",57,42
"Piscataway, Ward 2, District 2",83,49
"Piscataway, Ward 2, District 3",150,87
"Piscataway, Ward 2, District 4",50,63
"Piscataway, Ward 2, District 5",78,45
"Piscataway, Ward 2, District 6",116,67
"Piscataway, Ward 2, District 7",146,61
"Piscataway, Ward 2, District 8",143,60
"Piscataway, Ward 2, District 9",81,52
"Piscataway, Ward 2, District 10",178,65
"Piscataway, Ward 3, District 1",82,69
"Piscataway, Ward 3, District 2",128,79
"Piscataway, Ward 3, District 3",116,64
"Piscataway, Ward 3, District 4",229,73
"Piscataway, Ward 3, District 5",97,40
"Piscataway, Ward 3, District 6",4,25
"Piscataway, Ward 3, District 7",98,70
"Piscataway, Ward 3, District 8",104,69
"Piscataway, Ward 3, District 9",41,43
"Piscataway, Ward 3, District 10",73,62
"Piscataway, Ward 4, District 1",47,47
"Piscataway, Ward 4, District 2",87,31
"Piscataway, Ward 4, District 3",57,34
"Piscataway, Ward 4, District 4",4,33
"Piscataway, Ward 4, District 5",173,79
"Piscataway, Ward 4, District 6",3,25
"Piscataway, Ward 4, District 7",112,53
"Piscataway, Ward 4, District 8",77,43
"Piscataway, Ward 4, District 9",120,27
"Piscataway, Ward 4, District 10",79,49
"Plainsboro, District 1",207,127
"Plainsboro, District 2",102,86
"Plainsboro, District 3",132,106
"Plainsboro, District 4",160,98
"Plainsboro, District 5",180,126
"Plainsboro, District 6",115,75
"Plainsboro, District 7",207,63
"Plainsboro, District 8",113,73
"Plainsboro, District 9",104,114
"Plainsboro, District 10",165,80
"Plainsboro, District 11",69,64
"Plainsboro, District 12",131,100
"Sayreville, District 1",84,71
"Sayreville, District 2",117,111
"Sayreville, District 3",133,97
"Sayreville, District 4",75,94
"Sayreville, District 5",75,88
"Sayreville, District 6",50,55
"Sayreville, District 7",69,76
"Sayreville, District 8",65,62
"Sayreville, District 9",57,66
"Sayreville, District 10",84,72
"Sayreville, District 11",98,65
"Sayreville, District 12",139,91
"Sayreville, District 13",68,75
"Sayreville, District 14",64,54
"Sayreville, District 15",79,75
"Sayreville, District 16",79,88
"Sayreville, District 17",58,44
"Sayreville, District 18",76,79
"Sayreville, District 19",60,48
"Sayreville, District 20",93,55
"Sayreville, District 21",79,56
"Sayreville, District 22",76,49
"Sayreville, District 23",69,53
"Sayreville, District 24",70,52
"Sayreville, District 25",79,63
"Sayreville, District 26",98,75
"Sayreville, District 27",111,107
"Sayreville, District 28",102,92
"Sayreville, District 29",50,53
"Sayreville, District 30",153,127
"Sayreville, District 31",165,83
"Sayreville, District 32",79,63
"Sayreville, District 33",168,77
"Sayreville, District 34",114,71
"Sayreville, District 35",101,60
"South Amboy, Ward 1, District 1",43,34
"South Amboy, Ward 1, District 2",46,71
"South Amboy, Ward 1, District 3",63,69
"South Amboy, Ward 2, District 1",34,49
"South Amboy, Ward 2, District 2",30,38
"South Amboy, Ward 2, District 3",53,49
"South Amboy, Ward 3, District 1",16,30
"South Amboy, Ward 3, District 2",110,77
"South Amboy, Ward 3, District 3",57,77
"South Brunswick, District 1",206,107
"South Brunswick, District 2",160,93
"South Brunswick, District 3",163,120
"South Brunswick, District 4",117,92
"South Brunswick, District 5",128,118
"South Brunswick, District 6",120,79
"South Brunswick, District 7",121,76
"South Brunswick, District 8",144,97
"South Brunswick, District 9",126,91
"South Brunswick, District 10",114,85
"South Brunswick, District 11",146,90
"South Brunswick, District 12",120,80
"South Brunswick, District 13",151,131
"South Brunswick, District 14",161,96
"South Brunswick, District 15",178,93
"South Brunswick, District 16",285,105
"South Brunswick, District 17",141,109
"South Brunswick, District 18",176,85
"South Brunswick, District 19",155,92
"South Brunswick, District 20",157,92
"South Brunswick, District 21",164,98
"South Brunswick, District 22",152,105
"South Brunswick, District 23",168,92
"South Brunswick, District 24",140,92
"South Brunswick, District 25",163,88
"South Brunswick, District 26",189,112
"South Brunswick, District 27",198,119
"South Brunswick, District 28",173,104
"South Brunswick, District 29",141,94
"South Brunswick, District 30",140,104
"South Plainfield, District 1",128,97
"South Plainfield, District 2",63,82
"South Plainfield, District 3",87,67
"South Plainfield, District 4",122,85
"South Plainfield, District 5",58,52
"South Plainfield, District 6",81,71
"South Plainfield, District 7",118,85
"South Plainfield, District 8",93,69
"South Plainfield, District 9",71,70
"South Plainfield, District 10",134,125
"South Plainfield, District 11",88,57
"South Plainfield, District 12",54,65
"South Plainfield, District 13",149,89
"South Plainfield, District 14",78,67
"South Plainfield, District 15",140,85
"South River, District 1",48,38
"South River, District 2",35,41
"South River, District 3",30,38
"South River, District 4",45,32
"South River, District 5",50,52
"South River, District 6",68,48
"South River, District 7",35,32
"South River, District 8",32,41
"South River, District 9",42,34
"South River, District 10",90,70
"South River, District 11",60,42
"South River, District 12",40,50
"South River, District 13",34,50
"South River, District 14",37,47
"Spotswood, District 1",87,89
"Spotswood, District 2",39,47
"Spotswood, District 3",34,50
"Spotswood, District 4",49,34
"Spotswood, District 5",46,56
"Spotswood, District 6",42,42
"Spotswood, District 7",52,45
"Woodbridge, Ward 1, District 1",161,114
"Woodbridge, Ward 1, District 2",158,111
"Woodbridge, Ward 1, District 3",168,101
"Woodbridge, Ward 1, District 4",162,131
"Woodbridge, Ward 1, District 5",155,118
"Woodbridge, Ward 1, District 6",148,97
"Woodbridge, Ward 1, District 7",167,131
"Woodbridge, Ward 1, District 8",126,72
"Woodbridge, Ward 1, District 9",139,109
"Woodbridge, Ward 1, District 10",167,132
"Woodbridge, Ward 1, District 11",151,105
"Woodbridge, Ward 1, District 12",176,103
"Woodbridge, Ward 1, District 13",185,131
"Woodbridge, Ward 1, District 14",181,96
"Woodbridge, Ward 1, District 15",164,100
"Woodbridge, Ward 2, District 1",59,39
"Woodbridge, Ward 2, District 2",54,50
"Woodbridge, Ward 2, District 3",75,65
"Woodbridge, Ward 2, District 4",56,62
"Woodbridge, Ward 2, District 5",60,43
"Woodbridge, Ward 2, District 6",65,41
"Woodbridge, Ward 2, District 7",97,49
"Woodbridge, Ward 2, District 8",107,75
"Woodbridge, Ward 2, District 9",73,45
"Woodbridge, Ward 2, District 10",54,58
"Woodbridge, Ward 2, District 11",50,53
"Woodbridge, Ward 2, District 12",77,59
"Woodbridge, Ward 2, District 13",130,64
"Woodbridge, Ward 2, District 14",138,41
"Woodbridge, Ward 2, District 15",76,45
"Woodbridge, Ward 3, District 1",52,31
"Woodbridge, Ward 3, District 2",74,86
"Woodbridge, Ward 3, District 3",53,44
"Woodbridge, Ward 3, District 4",39,25
"Woodbridge, Ward 3, District 5",62,57
"Woodbridge, Ward 3, District 6",70,37
"Woodbridge, Ward 3, District 7",49,59
"Woodbridge, Ward 3, District 8",53,71
"Woodbridge, Ward 3, District 9",55,59
"Woodbridge, Ward 3, District 10",148,71
"Woodbridge, Ward 3, District 11",106,45
"Woodbridge, Ward 3, District 12",137,51
"Woodbridge, Ward 3, District 13",72,56
"Woodbridge, Ward 4, District 1",236,51
"Woodbridge, Ward 4, District 2",82,63
"Woodbridge, Ward 4, District 3",60,40
"Woodbridge, Ward 4, District 4",41,42
"Woodbridge, Ward 4, District 5",50,48
"Woodbridge, Ward 4, District 6",56,37
"Woodbridge, Ward 4, District 7",101,62
"Woodbridge, Ward 4, District 8",71,64
"Woodbridge, Ward 4, District 9",100,59
"Woodbridge, Ward 4, District 10",135,72
"Woodbridge, Ward 4, District 11",85,63
"Woodbridge, Ward 4, District 12",48,32
"Woodbridge, Ward 4, District 13",50,48
"Woodbridge, Ward 4, District 14",63,48
"Woodbridge, Ward 5, District 1",40,36
"Woodbridge, Ward 5, District 2",64,60
"Woodbridge, Ward 5, District 3",48,38
"Woodbridge, Ward 5, District 4",50,34
"Woodbridge, Ward 5, District 5",77,68
"Woodbridge, Ward 5, District 6",76,72
"Woodbridge, Ward 5, District 7",59,75
"Woodbridge, Ward 5, District 8",64,49
"Woodbridge, Ward 5, District 9",110,79
"Woodbridge, Ward 5, District 10",51,64
"Woodbridge, Ward 5, District 11",51,51
"Woodbridge, Ward 5, District 12",65,61
"Woodbridge, Ward 5, District 13",48,43
"Woodbridge, Ward 5, District 14",54,52
"Woodbridge, Ward 5, District 15",39,38
"Woodbridge, Ward 5, District 16",96,54
"Woodbridge, Ward 5, District 17",35,50
"Woodbridge, Ward 5, District 18",50,34
Total,70054,45249
