District,Hillary CLINTON,Bernie SANDERS
"Carteret, District 1",87,42
"Carteret, District 2",112,59
"Carteret, District 3",128,46
"Carteret, District 4",117,45
"Carteret, District 5",81,37
"Carteret, District 6",76,56
"Carteret, District 7",68,40
"Carteret, District 8",79,65
"Carteret, District 9",60,46
"Carteret, District 10",51,47
"Carteret, District 11",107,55
"Carteret, District 12",79,50
"Carteret, District 13",86,45
"Carteret, District 14",75,35
"Carteret, District 15",79,56
"Carteret, District 16",52,46
"Carteret, District 17",83,62
"Carteret, District 18",59,33
"Carteret, District 19",56,37
"Cranbury, District 1",125,60
"Cranbury, District 2",125,51
"Cranbury, District 3",94,54
"Dunellen, District 1",42,57
"Dunellen, District 2",83,79
"Dunellen, District 3",33,32
"Dunellen, District 4",55,52
"Dunellen, District 5",59,41
"Dunellen, District 6",34,27
"East Brunswick, District 1",199,99
"East Brunswick, District 2",239,159
"East Brunswick, District 3",122,97
"East Brunswick, District 4",166,98
"East Brunswick, District 5",155,79
"East Brunswick, District 6",95,73
"East Brunswick, District 7",110,109
"East Brunswick, District 8",109,92
"East Brunswick, District 9",115,90
"East Brunswick, District 10",128,80
"East Brunswick, District 11",101,54
"East Brunswick, District 12",132,86
"East Brunswick, District 13",128,94
"East Brunswick, District 14",218,110
"East Brunswick, District 15",116,65
"East Brunswick, District 16",142,93
"East Brunswick, District 17",152,91
"East Brunswick, District 18",105,61
"East Brunswick, District 19",127,76
"East Brunswick, District 20",179,88
"East Brunswick, District 21",135,83
"East Brunswick, District 22",119,92
"East Brunswick, District 23",184,96
"East Brunswick, District 24",143,97
"East Brunswick, District 25",141,86
"East Brunswick, District 26",158,104
"East Brunswick, District 27",132,83
"East Brunswick, District 28",93,78
"East Brunswick, District 29",142,85
"East Brunswick, District 30",165,104
"East Brunswick, District 31",154,121
"East Brunswick, District 32",117,80
"East Brunswick, District 33",113,77
"East Brunswick, District 34",212,110
"East Brunswick, District 35",99,86
"East Brunswick, District 36",171,93
"East Brunswick, District 37",195,117
"East Brunswick, District 38",121,82
"East Brunswick, District 39",125,79
"East Brunswick, District 40",132,83
"Edison, District 1",259,138
"Edison, District 2",291,173
"Edison, District 3",190,116
"Edison, District 4",178,115
"Edison, District 5",211,121
"Edison, District 6",217,125
"Edison, District 7",153,127
"Edison, District 8",159,145
"Edison, District 9",165,120
"Edison, District 10",174,136
"Edison, District 11",210,144
"Edison, District 12",223,132
"Edison, District 13",211,122
"Edison, District 14",188,127
"Edison, District 15",187,143
"Edison, District 16",185,141
"Edison, District 17",187,136
"Edison, District 18",163,119
"Edison, District 19",183,119
"Edison, District 20",167,103
"Edison, District 21",170,126
"Edison, District 22",162,118
"Edison, District 23",173,139
"Edison, District 24",179,147
"Edison, District 25",166,131
"Edison, District 26",169,142
"Edison, District 27",197,135
"Edison, District 28",163,106
"Edison, District 29",200,137
"Edison, District 30",209,149
"Edison, District 31",174,129
"Edison, District 32",183,114
"Edison, District 33",187,131
"Edison, District 34",177,112
"Edison, District 35",196,116
"Edison, District 36",195,108
"Edison, District 37",181,150
"Edison, District 38",202,132
"Edison, District 39",224,139
"Edison, District 40",183,127
"Edison, District 41",169,129
"Edison, District 42",181,116
"Edison, District 43",257,149
"Edison, District 44",190,122
"Edison, District 45",165,130
"Edison, District 46",174,123
"Edison, District 47",165,133
"Edison, District 48",163,125
"Edison, District 49",183,124
"Edison, District 50",189,118
"Edison, District 51",153,127
"Edison, District 52",171,126
"Edison, District 53",192,119
"Edison, District 54",194,122
"Edison, District 55",154,120
"Edison, District 56",164,126
"Edison, District 57",168,141
"Edison, District 58",177,123
"Edison, District 59",164,140
"Edison, District 60",171,128
"Edison, District 61",184,125
"Edison, District 62",182,114
"Edison, District 63",226,156
"Edison, District 64",231,147
"Edison, District 65",192,138
"Edison, District 66",207,136
"Edison, District 67",192,148
"Edison, District 68",204,149
"Edison, District 69",200,110
"Edison, District 70",247,151
"Edison, District 71",220,124
"Edison, District 72",283,144
"Edison, District 73",217,136
"Edison, District 74",194,118
"Edison, District 75",200,120
"Edison, District 76",240,149
"Edison, District 77",246,126
"Edison, District 78",185,107
"Helmetta, District 1",81,75
"Highland Park, District 1",220,166
"Highland Park, District 2",205,162
"Highland Park, District 3",207,152
"Highland Park, District 4",191,134
"Highland Park, District 5",207,144
"Highland Park, District 6",177,124
"Highland Park, District 7",216,157
"Highland Park, District 8",243,152
"Highland Park, District 9",223,128
"Highland Park, District 10",218,129
"Highland Park, District 11",181,134
"Highland Park, District 12",136,125
"Highland Park, District 13",144,118
"Jamesburg, District 1",61,46
"Jamesburg, District 2",46,31
"Jamesburg, District 3",52,32
"Jamesburg, District 4",66,72
"Metuchen, District 1",150,79
"Metuchen, District 2",169,117
"Metuchen, District 3",132,97
"Metuchen, District 4",135,91
"Metuchen, District 5",136,105
"Metuchen, District 6",116,81
"Metuchen, District 7",100,92
"Metuchen, District 8",118,90
"Metuchen, District 9",99,84
"Metuchen, District 10",151,100
"Metuchen, District 11",170,154
"Metuchen, District 12",111,101
"Metuchen, District 13",95,74
"Middlesex, District 1",54,36
"Middlesex, District 2",78,54
"Middlesex, District 3",71,45
"Middlesex, District 4",73,60
"Middlesex, District 5",43,41
"Middlesex, District 6",30,31
"Middlesex, District 7",58,57
"Middlesex, District 8",42,49
"Middlesex, District 9",62,58
"Middlesex, District 10",80,70
"Milltown, District 1",32,28
"Milltown, District 2",40,63
"Milltown, District 3",39,50
"Milltown, District 4",31,52
"Milltown, District 5",51,36
"Milltown, District 6",25,39
"Milltown, District 7",37,49
"Milltown, District 8",53,38
"Milltown, District 9",36,18
"Monroe, Ward 1, District 1",261,76
"Monroe, Ward 1, District 2",182,64
"Monroe, Ward 1, District 3",176,62
"Monroe, Ward 1, District 4",198,71
"Monroe, Ward 1, District 5",195,55
"Monroe, Ward 1, District 6",157,48
"Monroe, Ward 1, District 7",196,59
"Monroe, Ward 1, District 8",183,53
"Monroe, Ward 1, District 9",224,64
"Monroe, Ward 1, District 10",240,54
"Monroe, Ward 1, District 11",128,49
"Monroe, Ward 1, District 12",186,59
"Monroe, Ward 1, District 13",309,71
"Monroe, Ward 1, District 14",236,70
"Monroe, Ward 1, District 15",198,63
"Monroe, Ward 1, District 16",202,63
"Monroe, Ward 1, District 17",146,62
"Monroe, Ward 2, District 1",128,90
"Monroe, Ward 2, District 2",125,53
"Monroe, Ward 2, District 3",221,70
"Monroe, Ward 2, District 4",106,59
"Monroe, Ward 2, District 5",188,63
"Monroe, Ward 2, District 6",206,53
"Monroe, Ward 2, District 7",256,52
"Monroe, Ward 2, District 8",170,54
"Monroe, Ward 2, District 9",228,52
"Monroe, Ward 2, District 10",99,41
"Monroe, Ward 2, District 11",202,38
"Monroe, Ward 2, District 12",254,48
"Monroe, Ward 3, District 1",48,45
"Monroe, Ward 3, District 2",39,33
"Monroe, Ward 3, District 3",44,41
"Monroe, Ward 3, District 4",43,36
"Monroe, Ward 3, District 5",47,32
"Monroe, Ward 3, District 6",38,15
"Monroe, Ward 3, District 7",62,40
"Monroe, Ward 3, District 8",42,38
"Monroe, Ward 3, District 9",54,48
"Monroe, Ward 3, District 10",226,34
"Monroe, Ward 3, District 11",156,16
"New Brunswick, Ward 1, District 1",110,93
"New Brunswick, Ward 1, District 2",107,55
"New Brunswick, Ward 1, District 3",100,81
"New Brunswick, Ward 1, District 4",122,127
"New Brunswick, Ward 1, District 5",133,123
"New Brunswick, Ward 1, District 6",94,96
"New Brunswick, Ward 2, District 1",60,69
"New Brunswick, Ward 2, District 2",66,33
"New Brunswick, Ward 2, District 3",50,45
"New Brunswick, Ward 2, District 4",65,40
"New Brunswick, Ward 2, District 5",64,24
"New Brunswick, Ward 2, District 6",46,30
"New Brunswick, Ward 2, District 7",210,105
"New Brunswick, Ward 4, District 1",75,43
"New Brunswick, Ward 4, District 2",133,46
"New Brunswick, Ward 4, District 3",64,32
"New Brunswick, Ward 4, District 4",73,46
"New Brunswick, Ward 4, District 5",71,46
"New Brunswick, Ward 5, District 1",76,71
"New Brunswick, Ward 5, District 2",30,38
"New Brunswick, Ward 5, District 3",78,40
"New Brunswick, Ward 5, District 4",29,57
"New Brunswick, Ward 6, District 1",34,32
"New Brunswick, Ward 6, District 2",10,37
"New Brunswick, Ward 6, District 3",8,36
"New Brunswick, Ward 6, District 4",10,33
"New Brunswick, Ward 6, District 5",56,58
"New Brunswick, Ward 6, District 6",45,39
"North Brunswick, District 1",102,63
"North Brunswick, District 2",130,80
"North Brunswick, District 3",92,59
"North Brunswick, District 4",174,86
"North Brunswick, District 5",129,77
"North Brunswick, District 6",71,79
"North Brunswick, District 7",116,81
"North Brunswick, District 8",95,42
"North Brunswick, District 9",124,79
"North Brunswick, District 10",91,54
"North Brunswick, District 11",160,95
"North Brunswick, District 12",97,59
"North Brunswick, District 13",94,76
"North Brunswick, District 14",77,55
"North Brunswick, District 15",91,65
"North Brunswick, District 16",115,75
"North Brunswick, District 17",146,81
"North Brunswick, District 18",82,65
"North Brunswick, District 19",118,82
"North Brunswick, District 20",214,90
"North Brunswick, District 21",281,126
"North Brunswick, District 22",166,84
"North Brunswick, District 23",150,75
"North Brunswick, District 24",114,103
"North Brunswick, District 25",197,126
"North Brunswick, District 26",132,84
"North Brunswick, District 27",215,97
"Old Bridge, Ward 1, District 1",62,93
"Old Bridge, Ward 1, District 2",65,82
"Old Bridge, Ward 1, District 3",76,94
"Old Bridge, Ward 1, District 4",59,73
"Old Bridge, Ward 1, District 5",157,152
"Old Bridge, Ward 1, District 6",78,73
"Old Bridge, Ward 1, District 7",84,60
"Old Bridge, Ward 1, District 8",129,111
"Old Bridge, Ward 1, District 9",65,69
"Old Bridge, Ward 1, District 10",49,58
"Old Bridge, Ward 2, District 1",30,10
"Old Bridge, Ward 2, District 2",72,62
"Old Bridge, Ward 2, District 3",82,53
"Old Bridge, Ward 2, District 4",92,40
"Old Bridge, Ward 2, District 5",77,59
"Old Bridge, Ward 2, District 6",11,0
"Old Bridge, Ward 2, District 7",72,36
"Old Bridge, Ward 3, District 1",68,51
"Old Bridge, Ward 3, District 2",49,63
"Old Bridge, Ward 3, District 3",110,47
"Old Bridge, Ward 3, District 4",94,48
"Old Bridge, Ward 3, District 5",81,60
"Old Bridge, Ward 3, District 6",27,27
"Old Bridge, Ward 3, District 7",28,29
"Old Bridge, Ward 4, District 1",79,59
"Old Bridge, Ward 4, District 2",48,29
"Old Bridge, Ward 4, District 3",112,64
"Old Bridge, Ward 4, District 4",34,31
"Old Bridge, Ward 4, District 5",46,33
"Old Bridge, Ward 4, District 6",88,43
"Old Bridge, Ward 4, District 7",28,34
"Old Bridge, Ward 4, District 8",55,54
"Old Bridge, Ward 4, District 9",19,10
"Old Bridge, Ward 5, District 1",35,28
"Old Bridge, Ward 5, District 2",21,26
"Old Bridge, Ward 5, District 3",30,34
"Old Bridge, Ward 5, District 4",32,26
