District,Bonnie Watson COLEMAN,Alexander J. KUCSMA
"North Brunswick, District 4",200,11
"North Brunswick, District 5",154,11
"North Brunswick, District 6",109,8
"North Brunswick, District 7",148,14
"North Brunswick, District 8",105,9
"North Brunswick, District 9",141,14
"North Brunswick, District 10",106,12
"North Brunswick, District 11",193,13
"North Brunswick, District 12",116,8
"North Brunswick, District 13",128,7
"North Brunswick, District 14",97,11
"North Brunswick, District 15",104,10
"North Brunswick, District 16",150,8
"North Brunswick, District 17",170,12
"North Brunswick, District 18",105,12
"North Brunswick, District 19",150,9
"North Brunswick, District 20",237,11
"North Brunswick, District 21",320,14
"North Brunswick, District 22",209,8
"North Brunswick, District 23",182,11
"North Brunswick, District 24",156,12
"North Brunswick, District 25",230,21
"North Brunswick, District 26",164,8
"North Brunswick, District 27",236,16
"Old Bridge, Ward 1, District 10",55,9
"Old Bridge, Ward 2, District 6",10,0
"Old Bridge, Ward 2, District 7",79,1
"Old Bridge, Ward 3, District 1",76,2
"Old Bridge, Ward 3, District 2",69,7
"Old Bridge, Ward 3, District 3",100,4
"Old Bridge, Ward 3, District 4",83,9
"Old Bridge, Ward 3, District 5",101,10
"Old Bridge, Ward 3, District 6",37,5
"Old Bridge, Ward 3, District 7",33,2
"Old Bridge, Ward 4, District 1",97,11
"Old Bridge, Ward 4, District 2",52,3
"Old Bridge, Ward 4, District 4",48,2
"Old Bridge, Ward 4, District 5",51,3
"Old Bridge, Ward 4, District 7",38,3
"Old Bridge, Ward 4, District 8",78,7
"Old Bridge, Ward 4, District 9",22,0
"Old Bridge, Ward 5, District 1",44,3
"Old Bridge, Ward 5, District 2",27,7
"Old Bridge, Ward 5, District 3",39,6
"Old Bridge, Ward 5, District 4",36,2
"Old Bridge, Ward 5, District 5",52,1
"Old Bridge, Ward 5, District 6",64,7
"Old Bridge, Ward 5, District 7",79,5
"Old Bridge, Ward 5, District 8",61,3
"Old Bridge, Ward 5, District 9",55,2
"Old Bridge, Ward 6, District 1",56,7
"Old Bridge, Ward 6, District 2",59,1
"Old Bridge, Ward 6, District 3",30,2
"Old Bridge, Ward 6, District 4",40,9
"Old Bridge, Ward 6, District 5",65,15
"Old Bridge, Ward 6, District 6",70,11
"Old Bridge, Ward 6, District 7",75,13
"Old Bridge, Ward 6, District 8",87,6
"Plainsboro, District 1",262,15
"Plainsboro, District 2",151,6
"Plainsboro, District 3",187,11
"Plainsboro, District 4",206,7
"Plainsboro, District 5",209,13
"Plainsboro, District 6",147,8
"Plainsboro, District 7",216,3
"Plainsboro, District 8",154,8
"Plainsboro, District 9",167,7
"Plainsboro, District 10",193,9
"Plainsboro, District 11",107,6
"Plainsboro, District 12",177,12
"South Brunswick, District 1",238,19
"South Brunswick, District 2",206,16
"South Brunswick, District 3",239,12
"South Brunswick, District 4",166,14
"South Brunswick, District 5",195,16
"South Brunswick, District 6",167,11
"South Brunswick, District 7",147,14
"South Brunswick, District 8",198,11
"South Brunswick, District 9",173,16
"South Brunswick, District 10",155,17
"South Brunswick, District 11",191,16
"South Brunswick, District 12",163,12
"South Brunswick, District 13",219,16
"South Brunswick, District 14",202,17
"South Brunswick, District 15",218,15
"South Brunswick, District 16",326,12
"South Brunswick, District 17",190,16
"South Brunswick, District 18",197,15
"South Brunswick, District 19",201,11
"South Brunswick, District 20",191,13
"South Brunswick, District 21",206,14
"South Brunswick, District 22",203,12
"South Brunswick, District 23",215,8
"South Brunswick, District 24",192,14
"South Brunswick, District 25",204,15
"South Brunswick, District 26",249,12
"South Brunswick, District 27",243,18
"South Brunswick, District 28",187,20
"South Brunswick, District 29",180,18
"South Brunswick, District 30",199,13
"South River, District 1",61,7
"South River, District 2",49,5
"South River, District 3",46,8
"South River, District 4",60,3
"South River, District 5",64,6
"South River, District 6",91,4
"South River, District 7",48,5
"South River, District 8",49,7
"South River, District 9",57,3
"South River, District 10",122,7
"South River, District 11",75,5
"South River, District 12",65,5
"South River, District 13",62,4
"South River, District 14",62,4
"Spotswood, District 1",109,25
"Spotswood, District 2",53,4
"Spotswood, District 3",48,9
"Spotswood, District 4",55,5
"Spotswood, District 5",64,5
"Spotswood, District 6",54,6
"Spotswood, District 7",62,9
Total,32198,2084
