District,Bonnie Watson COLEMAN,Alexander J. KUCSMA
"Cranbury, District 1",156,8
"Cranbury, District 2",145,8
"Cranbury, District 3",115,7
"Dunellen, District 1",74,6
"Dunellen, District 2",100,13
"Dunellen, District 3",37,4
"Dunellen, District 4",66,11
"Dunellen, District 5",65,8
"Dunellen, District 6",36,4
"East Brunswick, District 1",219,20
"East Brunswick, District 2",290,27
"East Brunswick, District 3",171,13
"East Brunswick, District 4",215,8
"East Brunswick, District 5",181,13
"East Brunswick, District 6",130,4
"East Brunswick, District 7",171,13
"East Brunswick, District 8",156,10
"East Brunswick, District 9",157,8
"East Brunswick, District 10",155,7
"East Brunswick, District 11",125,8
"East Brunswick, District 12",165,7
"East Brunswick, District 13",169,10
"East Brunswick, District 14",262,12
"East Brunswick, District 15",141,8
"East Brunswick, District 16",180,10
"East Brunswick, District 17",187,9
"East Brunswick, District 18",138,5
"East Brunswick, District 19",167,8
"East Brunswick, District 20",210,8
"East Brunswick, District 21",169,8
"East Brunswick, District 22",170,7
"East Brunswick, District 23",220,11
"East Brunswick, District 24",180,8
"East Brunswick, District 25",188,6
"East Brunswick, District 26",200,11
"East Brunswick, District 27",158,11
"East Brunswick, District 28",133,6
"East Brunswick, District 29",182,6
"East Brunswick, District 30",211,8
"East Brunswick, District 31",212,15
"East Brunswick, District 32",155,11
"East Brunswick, District 33",147,9
"East Brunswick, District 34",250,13
"East Brunswick, District 35",143,6
"East Brunswick, District 36",190,8
"East Brunswick, District 37",243,12
"East Brunswick, District 38",158,9
"East Brunswick, District 39",160,5
"East Brunswick, District 40",163,10
"Helmetta, District 1",93,10
"Jamesburg, District 1",79,6
"Jamesburg, District 2",59,5
"Jamesburg, District 3",63,11
"Jamesburg, District 4",87,9
"Middlesex, District 1",62,5
"Middlesex, District 2",103,4
"Middlesex, District 3",85,0
"Middlesex, District 4",101,4
"Middlesex, District 5",57,5
"Middlesex, District 6",47,1
"Middlesex, District 7",77,5
"Middlesex, District 8",69,8
"Middlesex, District 9",89,12
"Middlesex, District 10",106,9
"Milltown, District 1",42,7
"Milltown, District 2",69,9
"Milltown, District 3",57,8
"Milltown, District 4",55,5
"Milltown, District 5",66,10
"Milltown, District 6",46,7
"Milltown, District 7",62,10
"Milltown, District 8",62,7
"Milltown, District 9",40,7
"Monroe, Ward 1, District 1",258,13
"Monroe, Ward 1, District 2",200,6
"Monroe, Ward 1, District 3",189,8
"Monroe, Ward 1, District 4",222,9
"Monroe, Ward 1, District 5",200,9
"Monroe, Ward 1, District 6",164,6
"Monroe, Ward 1, District 7",209,7
"Monroe, Ward 1, District 8",195,5
"Monroe, Ward 1, District 9",235,6
"Monroe, Ward 1, District 10",244,8
"Monroe, Ward 1, District 11",131,5
"Monroe, Ward 1, District 12",185,9
"Monroe, Ward 1, District 13",317,11
"Monroe, Ward 1, District 14",241,17
"Monroe, Ward 1, District 15",204,6
"Monroe, Ward 1, District 16",209,5
"Monroe, Ward 1, District 17",158,7
"Monroe, Ward 2, District 1",157,17
"Monroe, Ward 2, District 2",142,10
"Monroe, Ward 2, District 3",219,6
"Monroe, Ward 2, District 4",116,8
"Monroe, Ward 2, District 5",194,8
"Monroe, Ward 2, District 6",209,7
"Monroe, Ward 2, District 7",247,5
"Monroe, Ward 2, District 8",185,5
"Monroe, Ward 2, District 9",230,8
"Monroe, Ward 2, District 10",108,5
"Monroe, Ward 2, District 11",203,5
"Monroe, Ward 2, District 12",258,5
"Monroe, Ward 3, District 1",60,5
"Monroe, Ward 3, District 2",46,8
"Monroe, Ward 3, District 3",62,6
"Monroe, Ward 3, District 4",57,7
"Monroe, Ward 3, District 5",50,8
"Monroe, Ward 3, District 6",39,6
"Monroe, Ward 3, District 7",62,6
"Monroe, Ward 3, District 8",56,7
"Monroe, Ward 3, District 9",67,10
"Monroe, Ward 3, District 10",203,6
"Monroe, Ward 3, District 11",136,4
"North Brunswick, District 1",112,13
"North Brunswick, District 2",152,17
"North Brunswick, District 3",106,12
