District,Donald J. TRUMP,John R. KASICH,Ted CRUZ
"Carteret, District 1",9,0,1
"Carteret, District 2",12,4,0
"Carteret, District 3",3,2,2
"Carteret, District 4",3,2,0
"Carteret, District 5",16,0,2
"Carteret, District 6",12,0,0
"Carteret, District 7",12,0,0
"Carteret, District 8",16,1,3
"Carteret, District 9",22,2,2
"Carteret, District 10",22,4,1
"Carteret, District 11",20,2,2
"Carteret, District 12",16,1,3
"Carteret, District 13",13,2,2
"Carteret, District 14",14,0,0
"Carteret, District 15",26,2,0
"Carteret, District 16",24,3,2
"Carteret, District 17",30,1,1
"Carteret, District 18",18,1,1
"Carteret, District 19",10,1,0
"Cranbury, District 1",57,15,5
"Cranbury, District 2",62,26,3
"Cranbury, District 3",46,23,0
"Dunellen, District 1",40,5,4
"Dunellen, District 2",45,7,5
"Dunellen, District 3",48,5,3
"Dunellen, District 4",40,1,2
"Dunellen, District 5",58,6,5
"Dunellen, District 6",28,5,4
"East Brunswick, District 1",52,15,4
"East Brunswick, District 2",68,13,7
"East Brunswick, District 3",48,4,2
"East Brunswick, District 4",59,9,1
"East Brunswick, District 5",35,1,2
"East Brunswick, District 6",34,2,1
"East Brunswick, District 7",57,9,4
"East Brunswick, District 8",44,4,0
"East Brunswick, District 9",30,3,3
"East Brunswick, District 10",41,5,4
"East Brunswick, District 11",34,2,0
"East Brunswick, District 12",48,12,3
"East Brunswick, District 13",45,8,1
"East Brunswick, District 14",48,22,5
"East Brunswick, District 15",25,3,1
"East Brunswick, District 16",52,5,5
"East Brunswick, District 17",51,13,9
"East Brunswick, District 18",26,2,3
"East Brunswick, District 19",25,5,1
"East Brunswick, District 20",54,14,7
"East Brunswick, District 21",52,8,3
"East Brunswick, District 22",33,7,3
"East Brunswick, District 23",47,17,3
"East Brunswick, District 24",50,7,6
"East Brunswick, District 25",45,8,2
"East Brunswick, District 26",64,11,6
"East Brunswick, District 27",65,9,3
"East Brunswick, District 28",29,1,0
"East Brunswick, District 29",39,4,2
"East Brunswick, District 30",54,13,1
"East Brunswick, District 31",53,7,4
"East Brunswick, District 32",29,3,3
"East Brunswick, District 33",23,0,3
"East Brunswick, District 34",54,12,5
"East Brunswick, District 35",27,8,3
"East Brunswick, District 36",51,11,7
"East Brunswick, District 37",70,8,1
"East Brunswick, District 38",45,2,1
"East Brunswick, District 39",29,7,0
"East Brunswick, District 40",46,6,4
"Edison, District 1",46,10,1
"Edison, District 2",34,6,2
"Edison, District 3",19,2,1
"Edison, District 4",19,3,3
