MUNICIPALITIES,"Chris Christie - Kimberly M. GuadagnoRepublican","Barbara Buono - Milly SilvaDemocratic","William Araujo - Maria SalamancaPeace and Freedom","Jeff Boss - Robert B. ThorneNSA DID 911","Kenneth R. Kaplan - Brenda BellLibertarian Party","Diane W. Sare - Bruce ToddGlass-Steagall Now","Hank Schroeder - Patricia MoschellaIndependent","Steven Welzer - Patrice AlessandriniGreen Party"
Berkeley Heights Twp.,"3,145","1,150",5,3,30,7,4,14
Clark Twp.,"3,016","1,402",3,7,20,5,0,25
Cranford Twp.,"4,926","2,834",7,3,55,8,8,43
Elizabeth City,"4,379","7,804",45,18,30,13,10,47
Fanwood Boro,"1,503","1,003",3,0,17,5,1,23
Garwood Boro,802,429,1,2,11,1,3,2
Hillside Twp.,"1,564","3,362",4,3,8,1,0,15
Kenilworth Boro,"1,357",657,5,1,17,4,0,8
Linden City,"3,420","4,255",22,14,27,5,15,40
Mountainside Boro,"1,595",661,0,0,15,4,0,7
New Providence Boro,"2,468",935,0,1,30,6,2,21
Plainfield City,"1,723","5,757",22,4,19,8,3,48
Rahway City,"2,494","3,211",5,11,30,6,10,31
Roselle Boro,"1,115","2,882",11,6,12,3,1,11
Roselle Park Boro,"1,610","1,183",11,1,16,6,1,15
Scotch Plains Twp.,"4,504","2,804",13,3,33,12,7,37
Springfield Twp.,"2,624","1,921",1,3,22,2,4,27
Summit City,"3,971","1,785",5,2,28,10,5,26
Union Twp.,"5,334","6,269",31,7,37,11,11,38
Westfield Town,"6,303","3,394",4,4,39,19,9,56
Winfield  Twp.,282,171,1,2,2,,0,4
Total,"58,135","53,869",199,95,498,136,94,538
