MUNICIPALITIES,"Chris Christie - Kimberly M. GuadagnoRepublican","Barbara Buono - Milly SilvaDemocratic","William Araujo - Maria SalamancaPeace and Freedom","Jeff Boss - Robert B. ThorneNSA DID 911","Kenneth R. Kaplan - Brenda BellLibertarian Party","Diane W. Sare - Bruce ToddGlass-Steagall Now","Hank Schroeder - Patricia MoschellaIndependent","Steven Welzer - Patrice AlessandriniGreen Party"
Alexandria Twp,"1,332",332,1,1,10,4,4,8
Bethlehem Twp,985,309,2,6,19,2,0,12
Bloomsbury Boro,189,65,0,1,3,0,0,1
Califon Boro,237,134,0,0,3,0,0,6
Clinton Town,577,234,3,4,7,2,1,6
Clinton Township,"3,195",899,7,0,43,6,8,25
Delaware Twp,"1,412",535,1,2,22,4,3,10
East Amwell Twp,"1,223",448,3,2,14,3,4,11
Flemington Boro,656,282,1,2,12,1,1,8
Franklin Twp,861,225,1,2,6,4,2,6
Frenchtown Boro,284,221,0,0,5,0,1,6
Glen Gardner Boro,386,121,0,2,4,0,0,4
Hampton Boro,272,95,0,0,5,0,0,6
High Bridge Boro,778,320,0,2,13,1,0,8
Holland Twp,"1,353",435,5,0,14,1,0,10
Kingwood Twp,"1,006",250,1,2,22,2,2,7
Lambertville City,633,798,4,1,5,1,1,17
Lebanon Boro,373,99,1,4,0,1,2,4
Lebanon Twp,"1,547",477,0,0,32,3,4,12
Milford Boro,274,118,0,5,5,0,0,2
Raritan Twp,"5,504","1,818",4,2,46,15,4,38
Readington Twp,"4,524","1,114",3,0,42,13,1,24
Stockton Boro,131,81,0,1,5,0,0,0
Tewksbury Twp,"1,706",445,2,2,21,2,4,10
Union Twp,"1,179",321,0,1,14,0,4,9
West Amwell Twp,675,249,1,,13,4,2,8
Total,"31,292","10,425",40,42,385,69,48,258
