MUNICIPALITIES,"Chris Christie - Kimberly M. GuadagnoRepublican","Barbara Buono - Milly SilvaDemocratic","William Araujo - Maria SalamancaPeace and Freedom","Jeff Boss - Robert B. ThorneNSA DID 911","Kenneth R. Kaplan - Brenda BellLibertarian Party","Diane W. Sare - Bruce ToddGlass-Steagall Now","Hank Schroeder - Patricia MoschellaIndependent","Steven Welzer - Patrice AlessandriniGreen Party"
Barnegat Twp.,"4,981","1,645",12,5,35,9,7,40
Barnegat Light Boro,263,74,0,0,1,0,0,5
Bay Head Boro,370,82,0,1,2,1,3,1
Beach Haven Boro,366,98,0,0,2,0,1,3
Beachwood Boro,"2,064",782,1,8,17,3,2,12
Berkeley Twp.,"11,301","3,102",21,9,49,20,13,69
Brick Twp.,"17,331","5,633",21,31,119,22,33,106
Eagleswood Twp.,345,116,0,2,8,0,0,4
Harvey Cedars Boro,159,54,0,0,1,0,0,2
Island Heights Boro,459,205,1,0,6,1,0,8
Jackson  Twp.,"11,171","3,693",24,14,103,18,27,73
Lacey Twp.,"6,394","1,966",11,9,68,12,9,36
Lakehurst  Boro,398,136,0,5,0,0,1,2
Lakewood Twp.,"11,850","2,427",14,10,37,4,14,28
Lavallette Boro,752,135,2,0,3,0,0,2
Little Egg Harbor Twp.,"4,603","1,449",8,9,51,12,10,32
Long Beach  Twp,"1,267",275,2,1,7,0,1,4
Manchester Twp.,"12,678","3,500",17,11,52,12,22,68
Mantoloking Boro,152,12,0,0,0,0,0,0
Ocean Twp,"2,577",631,7,3,13,12,3,7
Ocean Gate  Boro,458,177,0,0,11,0,0,0
Pine Beach Boro,622,243,4,2,5,2,0,7
Plumsted Twp.,"1,828",528,2,4,26,1,6,12
Point Pleasant Boro,"4,352","1,619",4,7,33,9,7,45
Point Pleasant Beach Boro,"1,332",421,2,2,11,0,4,15
Seaside Heights Boro,253,61,1,0,4,0,0,1
Seaside Park Boro,561,123,0,0,1,2,1,8
Ship Bottom Boro,381,120,0,0,1,0,0,4
South Toms River Boro,473,227,1,0,7,0,1,4
Stafford Twp.,"5,602","1,829",10,6,32,8,12,33
Surf City Boro,448,86,1,0,0,0,1,5
Toms River Twp.,"19,317","6,269",22,29,125,20,13,121
Tuckerton  Boro,673,212,1,1,2,0,0,5
Total,"125,781","37,930",189,169,832,168,191,762
