MUNICIPALITIES,"Chris Christie - Kimberly M. GuadagnoRepublican","Barbara Buono - Milly SilvaDemocratic","William Araujo - Maria SalamancaPeace and Freedom","Jeff Boss - Robert B. ThorneNSA DID 911","Kenneth R. Kaplan - Brenda BellLibertarian Party","Diane W. Sare - Bruce ToddGlass-Steagall Now","Hank Schroeder - Patricia MoschellaIndependent","Steven Welzer - Patrice AlessandriniGreen Party"
Bridgeton City of,867,"1,513",2,2,14,10,2,3
Commercial Twp,691,413,3,3,6,7,4,8
Deerfield Twp,532,274,0,0,5,0,0,3
Downe Twp,353,113,1,1,5,6,0,2
Fairfield Twp,472,774,4,3,7,5,2,1
Greenwich Twp,237,124,1,0,2,1,0,0
Hopewell Twp,873,442,0,1,8,2,4,4
Lawrence Twp,450,197,0,2,2,3,0,1
Maurice River Twp,621,279,2,1,7,5,4,2
Millville City,"3,794","2,640",11,13,53,51,12,31
Shiloh Boro,130,32,1,0,1,0,0,3
Stow Creek Twp,355,114,0,0,1,2,0,1
Upper Deerfield Twp,"1,397",687,2,4,11,10,2,4
Vineland City,"7,171","5,527",14,10,98,45,2,52
Total,"17,943","13,129",41,40,220,147,32,115
