MUNICIPALITIES,"Chris Christie - Kimberly M. GuadagnoRepublican","Barbara Buono - Milly SilvaDemocratic","William Araujo - Maria SalamancaPeace and Freedom","Jeff Boss - Robert B. ThorneNSA DID 911","Kenneth R. Kaplan - Brenda BellLibertarian Party","Diane W. Sare - Bruce ToddGlass-Steagall Now","Hank Schroeder - Patricia MoschellaIndependent","Steven Welzer - Patrice AlessandriniGreen Party"
Boonton Town,"1,527",688,1,2,25,7,6,18
Boonton Township,"1,077",332,3,1,7,3,4,4
Butler Boro,"1,320",571,3,0,11,0,4,7
Chatham Boro,"1,770",678,2,1,17,8,2,11
Chatham Twp,"2,594",814,2,2,17,3,3,12
Chester Boro,437,103,2,1,2,0,0,2
Chester Township,"2,280",488,2,5,18,3,5,8
Denville Twp,"3,758","1,489",3,7,51,12,22,37
Dover Town,"1,055",853,8,3,15,6,9,6
East Hanover Twp,"3,075","1,017",0,0,21,7,4,6
Florham Park Boro,"2,674",927,2,1,21,3,1,6
Hanover Twp,"3,337","1,156",5,4,24,8,3,16
Harding Twp,"1,193",242,1,1,10,0,0,7
Jefferson Twp,"4,043","1,596",5,6,46,7,11,14
Kinnelon Boro,"2,419",754,1,1,21,4,6,8
Lincoln Park Boro,"1,857",818,7,1,19,12,6,12
Long Hill Twp,"2,173",686,3,2,23,4,2,3
Madison Boro,"3,051","1,544",2,3,39,6,4,29
Mendham Boro,"1,695",399,1,1,7,1,5,10
Mendham Twp,"1,795",400,0,0,12,2,2,9
Mine Hill Twp,702,337,0,2,10,1,2,6
Montville Twp,"4,703","1,515",3,3,34,1,11,22
Morris Plains Boro,"1,399",551,0,0,16,1,2,8
Morris Twp,"5,033","2,380",6,13,48,13,18,37
Morristown Town,"1,871","1,602",2,3,32,5,11,22
Mount Arlington Boro,"1,177",430,3,1,13,3,9,3
Mount Olive Twp,"4,315","1,655",4,4,57,8,20,33
Mountain Lakes Boro,935,349,1,1,13,2,0,9
Netcong Boro,550,175,3,4,9,0,2,4
Parsippany-Troy Hills Twp,"9,083","4,547",18,10,109,18,14,59
Pequannock Twp.,"3,695","1,612",7,0,35,6,14,20
Randolph Twp,"4,838","2,065",5,5,52,6,13,40
Riverdale Boro,795,329,0,0,10,0,0,2
Rockaway Boro,"1,146",476,2,2,9,4,8,11
Rockaway Twp,"5,071","2,396",8,5,59,15,17,33
Roxbury Twp,"4,996","1,996",3,5,72,15,31,28
Victory Gardens Boro,90,90,3,0,0,1,2,0
Washington Twp,"4,467","1,330",5,3,40,12,7,53
Wharton Boro,892,434,1,1,12,2,3,8
Total,"98,888","39,824",127,104,"1,036",209,283,623
