MUNICIPALITIES,"Chris Christie - Kimberly M. GuadagnoRepublican","Barbara Buono - Milly SilvaDemocratic","William Araujo - Maria SalamancaPeace and Freedom","Jeff Boss - Robert B. ThorneNSA DID 911","Kenneth R. Kaplan - Brenda BellLibertarian Party","Diane W. Sare - Bruce ToddGlass-Steagall Now","Hank Schroeder - Patricia MoschellaIndependent","Steven Welzer - Patrice AlessandriniGreen Party"
Carteret Boro,"2,112","2,224",7,5,8,6,1,15
Cranbury Twp.,941,439,0,0,10,5,1,6
Dunellen Boro,982,503,2,2,11,2,6,9
East Brunswick Twp.,"7,849","4,589",14,10,53,18,8,61
Edison Twp.,"12,502","8,373",166,17,88,29,14,129
Helmetta Boro,503,183,0,1,4,1,1,9
Highland Park Boro,"1,294","2,449",5,4,20,3,3,44
Jamesburg Boro,762,409,0,0,14,1,0,7
Metuchen Boro,"2,397","2,319",1,4,18,8,4,34
Middlesex Boro,"2,478","1,045",2,3,16,4,2,19
Milltown Boro,"1,650",855,2,1,21,4,5,18
Monroe Twp.,"10,209","5,605",8,7,64,12,10,30
New Brunswick Twp.,"1,220","2,604",5,4,22,12,2,47
North Brunswick Twp.,"4,326","3,496",8,7,35,12,5,32
Old Bridge Twp.,"10,211","4,532",12,15,81,29,10,59
Perth Amboy City,"2,014","3,574",24,4,10,17,5,14
Piscataway Twp.,"5,129","5,388",9,7,36,11,4,55
Plainsboro Twp.,"2,232","1,763",1,7,27,8,2,23
Sayreville Boro,"6,199","3,328",2,10,35,10,10,35
South Amboy City,"1,341",689,2,2,12,6,3,8
South Brunswick Twp.,"5,608","3,755",7,7,57,14,3,40
South Plainfield Boro,"3,950","2,186",4,4,24,5,4,27
South River Boro,"1,997","1,094",2,3,19,2,1,12
Spotswood Boro,"1,591",640,2,1,14,4,1,12
Woodbridge Twp.,"12,122","8,183",16,16,91,36,10,117
Total,"101,619","70,225",301,141,790,259,115,862
