MUNICIPALITIES,"Chris Christie - Kimberly M. GuadagnoRepublican","Barbara Buono - Milly SilvaDemocratic","William Araujo - Maria SalamancaPeace and Freedom","Jeff Boss - Robert B. ThorneNSA DID 911","Kenneth R. Kaplan - Brenda BellLibertarian Party","Diane W. Sare - Bruce ToddGlass-Steagall Now","Hank Schroeder - Patricia MoschellaIndependent","Steven Welzer - Patrice AlessandriniGreen Party"
Bloomingdale Boro,"1,599",697,4,0,12,8,2,10
Clifton City,"9,304","7,106",19,27,72,38,6,37
Haledon Boro,684,858,1,4,8,4,1,2
Hawthorne Boro,"3,385","2,015",6,12,19,8,4,14
Little Falls Twp.,"2,165","1,355",4,6,14,9,7,4
North Haledon Boro,"2,304",831,3,3,9,4,2,1
Passaic City,"2,697","4,109",11,21,15,24,5,12
Paterson City,"4,123","15,726",35,50,18,41,14,21
Pompton Lakes Boro,"1,968",985,4,1,9,3,3,14
Prospect Park Boro,398,690,3,3,4,3,2,4
Ringwood Boro,"2,531","1,313",3,1,30,12,3,12
Totowa Boro,"2,201","1,009",2,1,7,4,0,1
Wanaque Boro,"2,107","1,042",1,4,13,10,1,9
Wayne Twp.,"10,824","5,364",8,14,73,24,4,45
West Milford Twp.,"5,380","2,264",7,13,54,22,6,20
Woodland Park,"2,188","1,461",3,1,11,8,2,7
Total,"53,858","46,825",114,161,368,222,62,213
