"","Sandra Bolden CunninghamDemocratic","Maria KarczewskiRepublican","Charles MainorDemocratic","Jason O'DonnellDemocratic","Gerard PizzilloRepublican","Juanita LopezRepublican"
HUDSON,,,,,,
Bayonne City,"5,244","3,959","5,314","5,899","3,487","3,239"
Jersey City,"13,578","2,973","12,563","12,055","2,984","3,103"
COUNTY TOTAL,"18,822","6,932","17,877","17,954","6,471","6,342"
"",,,,,,
DISTRICT TOTAL,"18,822","6,932","17,877","17,954","6,471","6,342"
