MUNICIPALITIES,"Chris Christie - Kimberly M. GuadagnoRepublican","Barbara Buono - Milly SilvaDemocratic","William Araujo - Maria SalamancaPeace and Freedom","Jeff Boss - Robert B. ThorneNSA DID 911","Kenneth R. Kaplan - Brenda BellLibertarian Party","Diane W. Sare - Bruce ToddGlass-Steagall Now","Hank Schroeder - Patricia MoschellaIndependent","Steven Welzer - Patrice AlessandriniGreen Party"
Bayonne City,"5,322","5,297",7,17,62,18,31,34
East Newark Boro,75,148,1,0,1,1,0,2
Guttenberg Town,645,740,2,7,9,0,3,4
Harrison Town,896,762,3,1,10,3,4,6
Hoboken City,"6,562","5,565",25,18,76,19,38,67
Jersey City,"9,784","20,421",76,33,134,29,94,148
Kearny Town,"2,634","2,667",6,5,32,7,26,16
North Bergen Town,"4,296","6,802",36,16,34,13,34,14
Secaucus Town,"2,214","1,738",8,4,21,2,70,3
Union City,"6,653","4,651",24,11,28,8,57,20
Weehawken Twp.,"1,070","1,407",6,11,9,2,9,23
West New York Town,"2,416","3,188",23,8,22,5,24,12
Total,"42,567","53,386",217,131,438,107,390,349
