"","Samuel D. ThompsonRepublican","Raymond D. DothardDemocratic","Ronald S. DancerRepublican","Robert D. CliftonRepublican","Lawrence J. FurmanDemocratic","Nicholas NellegarDemocratic","Diane BindlerFor the People"
BURLINGTON COUNTY,,,,,,,
Chesterfield Twp.,820,530,871,815,495,491,10
New Hanover Twp.,186,60,205,186,53,60,1
North hanover Twp.,905,369,"1,014",927,318,330,10
Wrightstown Boro,42,33,45,45,35,33,0
COUNTY TOTAL,"1,953",992,"2,135","1,973",901,914,21
"",,,,,,,
MIDDLESEX COUNTY,,,,,,,
Old Bridge Twp.,"8,456","5,137","7,454","7,147","5,214","4,924",449
COUNTY TOTAL,"8,456","5,137","7,454","7,147","5,214","4,924",449
"",,,,,,,
MONMOUTH COUNTY,,,,,,,
Allentown Boro,327,281,345,317,273,271,35
Englishtown Boro,270,113,248,261,111,109,27
Manalapan Twp.,"5,841","3,515","5,612","5,591","3,547","3,312",321
Matawan Boro,"1,355",909,"1,296","1,391",908,846,60
Millstone Twp.,"2,058",682,"2,076","2,020",627,617,61
Roosevelt Boro,74,203,75,74,193,191,10
Upper Freehold Twp.,"1,587",597,"1,644","1,558",572,563,54
COUNTY TOTAL,"11,512","6,300","11,296","11,212","6,231","5,909",568
"",,,,,,,
OCEAN COUNTY,,,,,,,
Jackson Twp,"9,361","4,473","9,450","9,078","4,322","4,111",278
Plumsted,"1,629",538,"1,853","1,649",451,454,38
COUNTY TOTAL,"10,990","5,011","11,303","10,727","4,773","4,565",316
"",,,,,,,
DISTRICT TOTAL,"32,911","17,440","32,188","31,059","17,119","16,312","1,354"
