MUNICIPALITIES,"Chris Christie - Kimberly M. GuadagnoRepublican","Barbara Buono - Milly SilvaDemocratic","William Araujo - Maria SalamancaPeace and Freedom","Jeff Boss - Robert B. ThorneNSA DID 911","Kenneth R. Kaplan - Brenda BellLibertarian Party","Diane W. Sare - Bruce ToddGlass-Steagall Now","Hank Schroeder - Patricia MoschellaIndependent","Steven Welzer - Patrice AlessandriniGreen Party"
Allamuchy Twp.,"1,045",342,2,1,4,0,5,8
Alpha Boro,442,170,1,2,4,2,2,8
Belvidere Town,494,195,4,1,16,6,5,2
Blairstown Twp.,"1,335",427,1,1,12,7,6,15
Franklin Twp.,730,167,0,1,7,0,1,11
Frelinghuysen Twp.,535,149,1,0,6,7,3,6
Greenwich Twp.,954,324,1,1,13,0,4,9
Hackettstown Town,"1,543",545,1,2,15,3,3,17
Hardwick Twp.,299,102,0,0,2,1,2,4
Harmony Twp.,536,151,5,3,3,2,2,4
Hope Twp.,437,113,0,0,6,0,0,7
Independence Twp.,"1,037",376,1,1,6,3,0,6
Knowlton Twp.,671,205,1,0,7,2,3,10
Liberty Twp.,588,180,1,2,13,1,6,5
Lopatcong Twp.,"1,615",634,1,2,14,6,9,13
Mansfield Twp.,"1,251",401,2,2,22,1,5,5
Oxford Twp.,514,169,1,0,4,1,6,3
Phillipsburg Town,"1,667",879,10,2,23,6,9,18
Pohatcong Twp.,688,275,0,2,7,4,5,6
Washington Boro,880,392,2,1,7,2,1,14
Washington Twp.,"1,432",398,0,5,25,4,7,9
White Twp.,"1,165",261,2,2,22,6,3,8
Total,"19,858","6,855",37,31,238,64,87,188
