MUNICIPALITIES,"Chris Christie - Kimberly M. GuadagnoRepublican","Barbara Buono - Milly SilvaDemocratic","William Araujo - Maria SalamancaPeace and Freedom","Jeff Boss - Robert B. ThorneNSA DID 911","Kenneth R. Kaplan - Brenda BellLibertarian Party","Diane W. Sare - Bruce ToddGlass-Steagall Now","Hank Schroeder - Patricia MoschellaIndependent","Steven Welzer - Patrice AlessandriniGreen Party"
Andover Boro,106,56,1,1,5,0,0,3
Andover Township,"1,212",427,4,3,23,15,8,11
Branchville Boro,191,64,2,0,0,2,2,1
Byram Twp.,"1,948",729,11,4,42,10,13,25
Frankford Twp.,"1,325",462,7,2,18,13,4,18
Franklin Boro,841,339,7,1,19,8,3,8
Fredon Twp.,864,221,7,2,15,3,6,5
Green Twp.,802,197,2,4,14,6,1,3
Hamburg Boro,570,250,4,1,4,5,1,7
Hampton Twp.,"1,100",385,5,1,23,5,4,12
Hardyston Twp.,"1,565",583,5,2,24,10,16,12
Hopatcong Boro,"2,906","1,016",17,4,54,7,22,49
Lafayette Twp.,646,172,1,1,14,5,2,3
Montague Twp.,750,219,4,1,13,3,3,13
Newton Town,"1,210",531,6,4,20,5,11,12
Ogdensburg Boro,520,187,2,1,4,4,5,0
Sandyston Twp.,496,156,1,2,1,14,1,4
Sparta Twp.,"4,431","1,496",12,6,68,16,17,40
Stanhope Boro,711,267,5,1,18,3,6,7
Stillwater Twp.,844,294,1,1,19,7,4,11
Sussex Boro,276,99,4,1,4,1,1,4
Vernon Twp.,"4,445","1,740",12,10,105,25,26,79
Walpack Twp.,7,2,0,0,0,0,0,0
Wantage Twp.,"2,107",812,10,5,35,13,6,20
Total,"29,873","10,704",130,58,542,180,162,347
