MUNICIPALITIES,"Chris Christie - Kimberly M. GuadagnoRepublican","Barbara Buono - Milly SilvaDemocratic","William Araujo - Maria SalamancaPeace and Freedom","Jeff Boss - Robert B. ThorneNSA DID 911","Kenneth R. Kaplan - Brenda BellLibertarian Party","Diane W. Sare - Bruce ToddGlass-Steagall Now","Hank Schroeder - Patricia MoschellaIndependent","Steven Welzer - Patrice AlessandriniGreen Party"
Alloway Twp.,770,314,3,4,20,4,5,10
Carneys Point Twp.,"1,352",804,3,5,19,4,4,10
Elmer Boro,329,95,2,2,4,0,0,4
Elsinboro Twp.,356,135,2,2,3,1,0,2
Lower Alloways Creek Twp.,597,150,1,2,3,2,0,2
Mannington Twp.,363,121,0,0,5,0,0,3
Oldmans Twp.,432,176,3,1,10,0,2,2
Penns Grove Boro,357,414,3,2,6,4,4,15
Pennsville Twp.,"2,848","1,007",8,5,44,2,7,23
Pilesgrove Twp.,"1,035",390,0,2,18,4,0,12
Pittsgrove Twp.,"1,764",926,9,3,18,4,8,25
Quinton Twp.,546,198,1,2,7,2,2,7
Salem City,399,538,5,3,9,3,4,12
Upper Pittsgrove Twp.,896,234,1,3,18,2,6,5
Woodstown Boro,704,387,3,1,13,1,1,9
Total,"12,748","5,889",44,37,197,33,43,141
