MUNICIPALITIES,"Chris Christie - Kimberly M. GuadagnoRepublican","Barbara Buono - Milly SilvaDemocratic","William Araujo - Maria SalamancaPeace and Freedom","Jeff Boss - Robert B. ThorneNSA DID 911","Kenneth R. Kaplan - Brenda BellLibertarian Party","Diane W. Sare - Bruce ToddGlass-Steagall Now","Hank Schroeder - Patricia MoschellaIndependent","Steven Welzer - Patrice AlessandriniGreen Party"
Bass River Twp,314,100,0,1,4,2,0,6
Beverly City,395,300,2,1,5,2,0,4
Bordentown City,661,579,3,3,9,5,0,13
Bordentown Twp,"2,029","1,194",3,3,23,8,5,14
Burlington City,"1,422","1,284",2,6,11,6,3,4
Burlington Twp,"3,486","2,874",13,4,42,6,11,13
Chesterfield Twp,975,476,5,2,20,2,0,6
Cinnaminson Twp,"3,849","1,666",4,3,28,1,4,16
Delanco Twp.,982,574,3,0,11,7,2,4
Delran Twp.,"2,939","1,634",2,2,34,8,6,15
Eastampton Twp,945,637,2,0,11,1,1,3
Edgewater Park Twp.,"1,189",996,9,2,6,4,0,5
Evesham Twp,"8,664","3,890",11,5,62,11,9,42
Fieldsboro Boro,90,77,1,0,5,0,0,1
Florence Twp,"2,651","1,365",10,4,23,5,2,12
Hainesport Twp,"1,444",566,2,1,13,5,4,5
Lumberton Twp,"2,173","1,235",7,2,24,4,2,9
Mansfield Twp,"2,254",974,10,1,15,1,3,8
Maple Shade Twp.,"2,333","1,419",7,4,30,9,2,8
Medford Lakes Boro,941,425,3,1,14,1,2,6
Medford Twp.,"5,628","2,067",3,7,59,10,7,24
Moorestown Twp.,"4,683","2,210",6,4,29,7,6,25
Mount Holly Twp.,"1,251",891,2,3,11,2,1,4
Mount Laurel Twp.,"8,696","4,341",21,10,73,10,15,40
New Hanover Twp.,224,57,1,0,1,0,0,2
North Hanover Twp.,"1,040",338,5,1,10,1,1,6
Palmyra Boro,"1,327",879,3,4,20,3,3,11
Pemberton Boro,320,129,0,0,4,0,0,1
Pemberton Township,"3,060","2,092",6,5,33,13,6,12
RiversideTwp.,"1,018",634,8,1,10,0,4,3
Riverton Boro,591,328,0,1,3,3,0,6
Shamong Twp.,"1,474",409,4,0,13,4,2,5
Southampton Twp.,"2,998",762,4,2,25,7,7,13
Springfield Twp.,932,299,3,2,8,2,3,8
Tabernacle Twp.,"1,850",557,4,0,22,4,2,8
Washington Twp.,156,61,0,0,8,0,0,2
Westampton Twp.,"1,410","1,187",5,2,16,0,6,4
Willingboro Twp.,"2,453","6,513",11,5,15,6,2,12
Woodland Twp.,310,107,1,0,4,2,0,2
Wrightstown Boro,63,35,0,0,1,0,0,0
Total,"79,220","46,161",186,92,755,162,121,382
