MUNICIPALITIES,"Chris Christie - Kimberly M. GuadagnoRepublican","Barbara Buono - Milly SilvaDemocratic","William Araujo - Maria SalamancaPeace and Freedom","Jeff Boss - Robert B. ThorneNSA DID 911","Kenneth R. Kaplan - Brenda BellLibertarian Party","Diane W. Sare - Bruce ToddGlass-Steagall Now","Hank Schroeder - Patricia MoschellaIndependent","Steven Welzer - Patrice AlessandriniGreen Party"
East Windsor Twp.,"3,736","2,537",4,6,43,7,9,50
Ewing Twp.,"4,395","5,279",16,7,67,10,12,51
Hamilton Twp.,"17,434","10,217",30,20,195,29,73,131
Hightstown Boro,765,512,1,2,15,3,4,19
Hopewell Boro,344,416,1,1,1,3,1,14
Hopewell Twp.,"3,826","2,257",3,4,38,12,16,34
Lawrence Twp.,"4,634","4,205",16,9,57,18,14,64
Pennington  Boro,496,487,0,0,5,0,1,10
Princeton,"2,780","4,172",7,3,43,9,3,80
Trenton City,"3,035","9,179",1,3,31,12,4,26
Twp. of Robbinsville,"2,102","1,228",17,12,32,4,28,43
West Windsor Twp.,"4,983","2,793",5,4,47,14,12,55
Total,"48,530","43,282",101,71,574,121,177,577
