MUNICIPALITIES,"Chris Christie - Kimberly M. GuadagnoRepublican","Barbara Buono - Milly SilvaDemocratic","William Araujo - Maria SalamancaPeace and Freedom","Jeff Boss - Robert B. ThorneNSA DID 911","Kenneth R. Kaplan - Brenda BellLibertarian Party","Diane W. Sare - Bruce ToddGlass-Steagall Now","Hank Schroeder - Patricia MoschellaIndependent","Steven Welzer - Patrice AlessandriniGreen Party"
Allendale Boro,"1,524",517,2,2,15,5,1,9
Alpine Boro,348,106,0,0,2,0,0,1
Bergenfield Boro,"3,576","2,416",2,4,18,13,4,6
Bogota Boro,"1,178",913,4,0,11,13,6,8
Carlstadt  Boro,997,628,1,3,8,2,2,7
Cliffside Park Boro,"2,077","2,298",7,3,18,8,3,8
Closter Boro,"1,183",646,4,0,9,1,0,1
Cresskill Boro,"1,412",766,1,1,8,3,3,3
Demarest Boro,883,515,2,0,5,4,1,3
Dumont Boro,"2,857","1,771",1,6,27,7,4,12
East Rutherford Boro,"1,205",785,2,7,8,7,2,11
Edgewater Boro,704,687,1,2,5,5,0,6
Elmwood Park Boro,"2,498","1,695",0,5,18,14,12,8
Emerson Boro,"1,716",742,1,0,9,6,0,0
Englewood City,"1,972","3,367",10,2,14,7,5,11
Englewood Cliffs Boro,"1,182",397,0,2,5,5,1,1
Fair Lawn Boro,"5,377","3,932",1,5,39,16,2,37
Fairview Boro,767,976,8,2,6,1,3,2
Fort Lee Boro,"3,735","2,941",4,6,25,19,1,23
Franklin Lakes Boro,"2,697",587,0,2,8,6,0,4
Garfield City,"1,960","1,865",4,7,26,14,4,8
Glen Rock Boro,"2,606","1,574",5,5,26,5,2,5
Hackensack City,"2,790","4,268",13,8,18,26,3,21
Harrington Park Boro,"1,019",559,0,0,11,7,2,3
Hasbrouck Heights Boro,"2,191","1,272",3,2,16,1,5,5
Haworth Boro,774,469,0,0,3,3,0,4
Hillsdale Boro,"2,262","1,183",1,1,18,4,2,5
Ho-Ho-Kus Boro,"1,085",358,0,0,9,2,0,4
Leonia Boro,"1,015","1,078",1,4,5,7,2,8
Little Ferry  Boro,"1,226",716,3,0,2,4,2,2
Lodi Boro,"2,135","1,924",1,5,19,11,3,7
Lyndhurst Twp.,"2,949","1,876",4,3,33,10,5,6
Mahwah Twp.,"5,115","2,070",4,4,27,12,9,23
Maywood Boro,"1,708","1,052",0,2,17,4,7,9
Midland Park Boro,"1,646",738,1,1,7,4,2,8
Montvale Boro,"1,714",728,0,3,13,1,1,5
Moonachie  Boro,369,188,1,1,1,0,1,7
New Milford Boro,"2,601","1,578",3,4,23,7,9,11
North Arlington Boro,"2,477","1,613",5,2,17,10,2,2
Northvale Boro,876,434,1,1,8,4,2,6
Norwood Boro,966,459,1,1,10,2,1,9
Oakland Boro,"2,746","1,275",1,3,30,10,2,3
Old Tappan Boro,"1,174",386,0,1,5,1,0,3
Oradell Boro,"1,797",878,1,1,21,2,3,4
Palisades Park Boro,919,864,2,3,8,5,2,13
Paramus Boro,"4,888","2,641",5,7,25,15,4,4
Park Ridge  Boro,"2,193",886,0,0,15,1,1,10
Ramsey Boro,"3,162","1,316",5,0,24,6,4,9
Ridgefield  Boro,"1,410","1,040",2,0,14,9,3,5
Ridgefield Park Village,"1,473","1,138",1,1,10,10,2,12
Ridgewood Village,"4,259","2,453",3,4,27,10,3,12
River Edge Boro,"2,007","1,400",0,5,23,2,0,5
River Vale Twp,"2,067",922,3,1,22,2,4,6
Rochelle Park Twp,"1,027",566,0,4,7,6,3,0
Rockleigh Boro,75,15,0,0,0,0,0,31
Rutherford Boro,"2,918","2,174",7,5,18,16,5,8
Saddle Brook Twp,"2,489","1,404",2,6,21,5,1,1
Saddle River Boro,845,143,0,0,7,1,0,2
South Hackensack Twp,355,238,0,1,2,3,1,32
Teaneck Twp,"4,439","6,197",6,6,34,29,3,12
Tenafly Boro,"2,046","1,505",0,2,11,5,0,0
Teterboro,10,3,0,0,1,0,0,4
Upper Saddle River Boro,"1,817",493,0,0,9,2,3,5
Waldwick Boro,"2,018","1,010",3,2,21,6,4,6
Wallington Boro,"1,365",754,2,1,19,3,1,2
Washington Twp,"2,079",889,1,1,8,7,2,12
Westwood Boro,"2,134","1,150",3,0,12,8,4,7
Woodcliff Lake Boro,"1,603",567,0,1,9,3,2,9
Wood-Ridge Boro,"1,533","1,115",2,2,11,5,1,8
Wyckoff Twp,"3,958","1,267",4,2,28,9,7,2
Total,"136,178","87,376",155,165,"1,009",461,179,546
