




District                      Registered Voters             Ballots Cast                  Voter Turnout                 
Clayton District 1            846                           516                           60.99%
Clayton District 2            816                           486                           59.56%
Clayton District 3            1168                          738                           63.18%
Clayton District 4            1037                          631                           60.85%
Clayton District 5            753                           415                           55.11%
Clayton District 6            1008                          689                           68.35%
Deptford District 1           967                           566                           58.53%
Deptford District 2           1050                          642                           61.14%
Deptford District 3           1196                          766                           64.05%
Deptford District 4           1125                          647                           57.51%
Deptford District 5           1013                          600                           59.23%
Deptford District 6           1078                          590                           54.73%
Deptford District 7           549                           340                           61.93%
Deptford District 8           904                           515                           56.97%
Deptford District 9           919                           565                           61.48%
Deptford District 10          1196                          711                           59.45%
Deptford District 11          1240                          771                           62.18%
Deptford District 12          1159                          732                           63.16%
Deptford District 13          828                           517                           62.44%
Deptford District 14          1064                          644                           60.53%
Deptford District 15          623                           373                           59.87%
Deptford District 16          657                           438                           66.67%
Deptford District 17          781                           388                           49.68%
Deptford District 18          597                           400                           67.00%
Deptford District 19          996                           543                           54.52%
Deptford District 20          1197                          778                           65.00%
Deptford District 21          1362                          833                           61.16%
Deptford District 22          1060                          694                           65.47%
East Greenwich 1              1164                          682                           58.59%
East Greenwich 2              1167                          694                           59.47%
East Greenwich 3              818                           544                           66.50%
East Greenwich 4              1047                          625                           59.69%
East Greenwich 5              846                           512                           60.52%
East Greenwich 6              1281                          782                           61.05%
East Greenwich 7              1403                          828                           59.02%
Elk District 1                574                           328                           57.14%
Elk District 2                646                           423                           65.48%
Elk District 3                1142                          679                           59.46%
Elk District 4                815                           514                           63.07%
Franklin District 1           773                           448                           57.96%
Franklin District 2           1270                          771                           60.71%
Franklin District 3           1366                          838                           61.35%
Franklin District 4           1175                          731                           62.21%
Franklin District 5           990                           592                           59.80%
Franklin District 6           1391                          855                           61.47%
Franklin District 7           996                           536                           53.82%
Franklin District 8           704                           395                           56.11%
Franklin District 9           975                           612                           62.77%
Franklin District 10          1099                          647                           58.87%
Franklin District 11          966                           589                           60.97%
Glassboro District 1          1577                          982                           62.27%
Glassboro District 2          547                           305                           55.76%
Glassboro District 3          925                           430                           46.49%
Glassboro District 4          688                           447                           64.97%
Glassboro District 5          1080                          515                           47.69%
Glassboro District 6          831                           473                           56.92%
Glassboro District 7          1300                          817                           62.85%
Glassboro District 8          875                           520                           59.43%
Glassboro District 9          957                           364                           38.04%
Glassboro District 10         873                           551                           63.12%
Glassboro District 11         943                           581                           61.61%
Glassboro District 12         916                           588                           64.19%
Greenwich District 1          440                           282                           64.09%
Greenwich District 2          654                           397                           60.70%
Greenwich District 3          560                           307                           54.82%
Greenwich District 4          591                           351                           59.39%
Greenwich District 5          537                           296                           55.12%
Greenwich District 6          907                           507                           55.90%
Harrison District 1           925                           578                           62.49%
Harrison District 2           989                           655                           66.23%
Harrison District 3           811                           524                           64.61%
Harrison District 4           1136                          765                           67.34%
Harrison District 5           1064                          677                           63.63%
Harrison District 6           1012                          651                           64.33%
Harrison District 7           950                           626                           65.89%
Harrison District 8           1340                          911                           67.99%
Harrison District 9           1011                          692                           68.45%
Logan District 1              790                           476                           60.25%
Logan District 2              1347                          834                           61.92%
Logan District 3              1115                          713                           63.95%
Logan District 4              1076                          671                           62.36%
Mantua District 1             924                           613                           66.34%
Mantua District 2             952                           578                           60.71%
Mantua District 3             827                           533                           64.45%
Mantua District 4             1162                          666                           57.31%
Mantua District 5             652                           395                           60.58%
Mantua District 6             1524                          919                           60.30%
Mantua District 7             546                           368                           67.40%
Mantua District 8             668                           424                           63.47%
Mantua District 9             960                           564                           58.75%
Mantua District 10            1291                          782                           60.57%
Mantua District 11            632                           413                           65.35%
Mantua District 12            1175                          695                           59.15%
Monroe District 1             841                           475                           56.48%
Monroe District 2             1184                          747                           63.09%
Monroe District 3             728                           315                           43.27%
Monroe District 4             695                           379                           54.53%
Monroe District 5             923                           570                           61.76%
Monroe District 6             1131                          728                           64.37%
Monroe District 7             1219                          730                           59.89%
Monroe District 8             880                           493                           56.02%
Monroe District 9             1105                          738                           66.79%
Monroe District 10            779                           429                           55.07%
Monroe District 11            543                           297                           54.70%
Monroe District 12            797                           487                           61.10%
Monroe District 13            1242                          722                           58.13%
Monroe District 14            930                           559                           60.11%
Monroe District 15            1182                          748                           63.28%
Monroe District 16            976                           442                           45.29%
Monroe District 17            962                           433                           45.01%
Monroe District 18            977                           582                           59.57%
Monroe District 19            1046                          653                           62.43%
Monroe District 20            676                           404                           59.76%
Monroe District 21            948                           650                           68.57%
Monroe District 22            1439                          898                           62.40%
Monroe District 23            1233                          710                           57.58%
Monroe District 24            868                           533                           61.41%
Monroe District 25            766                           488                           63.71%
Monroe District 26            1140                          700                           61.40%
National Park District 1      462                           288                           62.34%
National Park District 2      568                           324                           57.04%
National Park District 3      590                           345                           58.47%
National Park District 4      386                           229                           59.33%
Newfield District 1           1175                          717                           61.02%
Paulsboro District 1          947                           545                           57.55%
Paulsboro District 2          791                           434                           54.87%
Paulsboro District 3          638                           330                           51.72%
Paulsboro District 4          726                           378                           52.07%
Paulsboro District 5          613                           327                           53.34%
Pitman District 1             1033                          654                           63.31%
Pitman District 2             778                           468                           60.15%
Pitman District 3             794                           520                           65.49%
Pitman District 4             992                           661                           66.63%
Pitman District 5             943                           659                           69.88%
Pitman District 6             1039                          690                           66.41%
Pitman District 7             928                           595                           64.12%
South Harrison District 1     836                           512                           61.24%
South Harrison District 2     801                           536                           66.92%
South Harrison District 3     724                           486                           67.13%
Swedesboro District 1         848                           493                           58.14%
Swedesboro District 2         823                           464                           56.38%
Washington District 1         921                           528                           57.33%
Washington District 2         958                           612                           63.88%
Washington District 3         816                           471                           57.72%
Washington District 4         1156                          718                           62.11%
Washington District 5         1285                          726                           56.50%
Washington District 6         1451                          833                           57.41%
Washington District 7         1005                          552                           54.93%
Washington District 8         906                           566                           62.47%
Washington District 9         986                           591                           59.94%
Washington District 10        689                           430                           62.41%
Washington District 11        914                           572                           62.58%
Washington District 12        697                           439                           62.98%
Washington District 13        631                           378                           59.90%
Washington District 14        691                           426                           61.65%
Washington District 15        743                           479                           64.47%
Washington District 16        1309                          855                           65.32%
Washington District 17        926                           588                           63.50%
Washington District 18        1024                          624                           60.94%
Washington District 19        824                           482                           58.50%
